"clave","sección","estado","hueco","términos exactos o motivo","resultado o motivo","filas relacionadas"
"BN-064","15.4.7. Sexo, meiosis y ciclo vital","NO LOCALIZADO EN ESTA SESIÓN","Señal nutricional aguas arriba e integración completa de las rutas de apareamiento por inanición y EroS","Salpingoeca nutrient limitation EroS pathway integration mating signaling receptor; Cupidon starvation EroS adhesion","El preprint primario de 2026 (10.64898/2026.06.27.734982) muestra rutas distintas al nivel ensayado: inanición/Cupidon/collar/anisogamia frente a EroS/contacto cuerpo-cuerpo/isogamia. Sigue desconocida la señal extracelular que conecta el estado nutricional con el procesamiento de Cupidon y no se reconstruyó la integración completa.","n/a"
"BN-065","15.4.7. Sexo, meiosis y ciclo vital","LA LITERATURA DECLARA QUE NO SE SABE","Señal ambiental concreta que activaba el sexo en LECA","LECA sexual cue ancestral environment mating signal; origin eukaryotic sex environmental trigger; ancestral state sexual trigger eukaryotes","S357 y S78 permiten reconstruir sexo/meiosis en LECA, pero hambre, nutrientes, temperatura, luz, estrés, densidad y señales bióticas actuales no polarizan una clave ambiental homóloga única. ROS es una hipótesis funcional, no una reconstrucción del estado ancestral.","n/a"
"BN-066","15.4.7. Sexo, meiosis y ciclo vital","NO LOCALIZADO EN ESTA SESIÓN","Duración citológica de meiosis I y II en Salpingoeca rosetta","Salpingoeca rosetta meiosis duration hours haploid progeny time; choanoflagellate meiotic division timing; isolation haploid meiotic progeny two days","Tras inducir el proceso se detectó progenie haploide a los 2 días en Woznica et al. y retorno poblacional a haploidía dentro de 3 días en Levin y King. Son límites superiores desde el cambio de cultivo, no duración citológica de meiosis I + II.","n/a"
"BN-067","15.4.7. Sexo, meiosis y ciclo vital","NO LOCALIZADO EN ESTA SESIÓN","Balance de recursos, fecundidad y aptitud tamaño–número de la anisogamia en Salpingoeca rosetta","Salpingoeca rosetta anisogamy gamete size cost fecundity tradeoff measurements; Cupidon gamete morphology fusion","Se cuantificaron contacto/fusión y, en un preprint de 2026, alargamiento del cuerpo y collar de gametos grandes (61 % y 55 %), morfología del gameto pequeño y éxito de fusión. No se midieron biomasa, ATP, gametos por recurso ni aptitud de descendencia.","n/a"
"BN-071","15.4.8. Nombres y nomenclatura","NO LOCALIZADO EN ESTA SESIÓN","prioridad absoluta de la expresión científica missing link","La primera edición de Vestiges of the Natural History of Creation (1844), p. 69, contiene el uso primario más antiguo verificado en esta revisión: “a missing link” aplicado a una forma vegetal fósil. Diccionarios e historias secundarias discrepan entre 1844 y el uso geológico de Lyell en 1851; por ello no se atribuye una acuñación absoluta. Consultas: ""earliest scientific use missing link""; ""missing link Chambers 1844""; ""missing link Lyell 1851"".","n/a","n/a"
"BN-075","15.4.8. Nombres y nomenclatura","NO LOCALIZADO EN ESTA SESIÓN","prioridad absoluta de “basal lineage” como expresión filogenética","McDade (1990), Evolution 44:1685, usa “a basal lineage” en una predicción cladística y es el uso primario más antiguo verificado en esta revisión. La búsqueda de décadas anteriores no estableció que fuera la acuñación inicial. Consultas: ""first use basal lineage phylogenetics""; ""basal lineage cladistic 1980""; ""basal taxon terminology history"".","n/a","n/a"
"BN-078","15.4.9. Multicelularidad y repertorio preanimal","NO LOCALIZADO EN ESTA SESIÓN","Tramposos y castigo en agregados de Capsaspora owczarzaki","""Capsaspora cheater cheating aggregation selection""; ""Capsaspora social conflict policing""","S206 demostró mediante mezcla de poblaciones teñidas que los agregados incorporan células que crecieron por separado; no definió un genotipo tramposo, no midió ventaja reproductiva dentro del agregado y no ensayó castigo o policing.","n/a"
"BN-079","15.4.9. Multicelularidad y repertorio preanimal","NO LOCALIZADO EN ESTA SESIÓN","Tramposos y castigo en agregados de Ministeria vibrans","""Ministeria vibrans cheater aggregation conflict""; ""Ministeria social evolution kin selection""","S376 mostró co-agregación de los aislados no clonales Tong y L27 en Extended Data fig. 10q; la mezcla demuestra que el quimerismo es posible, pero no identifica tramposos, ventaja genotípica ni mecanismos de sanción.","n/a"
"BN-083","15.4.9. Multicelularidad y repertorio preanimal","NO LOCALIZADO EN ESTA SESIÓN","Presupuestos energéticos directos y comparables para mantener rosetas de Salpingoeca rosetta, producir matriz extracelular en holozoos unicelulares, invertir o agregar láminas de Choanoeca flexa, celularizar Sphaeroforma arctica y comparar las rutas clonal, agregativa y cenocítica","""Salpingoeca rosetta rosette energetic cost ATP""; ""choanoflagellate colony maintenance oxygen consumption""; ""rosette growth rate cost""; ""unicellular holozoan extracellular matrix energetic cost""; ""Capsaspora ECM biosynthesis ATP cost""; ""Choanoeca flexa energetic cost inversion aggregation""; ""Choanoeca flexa growth tradeoff salinity""; ""Sphaeroforma arctica cellularization energetic cost ATP""; ""Sphaeroforma oxygen consumption cellularization""; ""cost comparison clonal aggregative coenocytic multicellularity""; ""energetic costs routes to multicellularity""; ""choanoflagellate collar power dissipation metabolic cost""; ""Iqbal choanoflagellate ATP oxygen consumption collar""","Fila maestra que consolida las búsquedas previas sobre rosetas, matriz extracelular, láminas de Choanoeca y celularización de Sphaeroforma. S549 modela hidrodinámicamente el flujo efectivo y la disipación de potencia de collares de coanoflagelados y localiza máximos geométricos parciales; no mide ATP, consumo de oxígeno, calor ni coste de crecimiento, ni compara las rutas clonal, agregativa y cenocítica en una unidad común. Por tanto reduce el hueco hidrodinámico sin cerrar el hueco metabólico (C-1612–C-1613).","n/a"
"BN-090","15.4.9. Multicelularidad y repertorio preanimal","NO LOCALIZADO EN ESTA SESIÓN","Aptitud relativa de la agregación de Ministeria vibrans en competencia prolongada y coeficiente de selección","""Ministeria vibrans aggregation fitness competition generations""; ""Ministeria aggregate selection coefficient""","S376 impidió el mantenimiento de agregados mediante disrupción física y observó menor replicación que en cultivos no perturbados (fig. 6c; cuadruplicado); una segunda condición con menor agregación también mostró menor replicación, aunque ambas manipulaciones tienen confusores declarados. Es evidencia experimental de un beneficio de aptitud bajo esos ensayos, pero no una competencia prolongada, aptitud relativa ni coeficiente de selección. El P = 0,0017 publicado corresponde al contraste de doble tinción de la fig. 6f, no al ensayo de disrupción.","n/a"
