"clave_original","bloque_original","disposición_final","resultado_documentado","evidencia_principal","destino_canónico","prioridad_final","desencadenante","delta_auditoria_2026_08_08","huella_inicial_sha256"
"BN-096","15.4","CONSERVADA_REFORMULADA","La base Sedimentary Geochemistry and Paleoenvironments reúne datos por elemento, muestra, litología y método, no una serie de agua de mar homogénea.","SGP Phase 2, base y métodos oficiales.","BN-096 conserva la homogeneización pan-Proterozoica no publicada.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=2977f21c3144a9603a43f014ed093a352b8d7b65d3ef36ef98e873a2906ccd31; final_sha256=2be542b5c8fcf75bd9161c7a90c58de6e0d59bcdb7b99836d5871160c2998304","2308a02acf6d8179b91fb1c87b8bf7e30110662a90bbcce0e879aad6e0039e4f"
"BN-097","15.4","CONSERVADA_REFORMULADA","Se modeló más de 54 % del área del fondo marino como oxigenada cerca de 1,57 Ga; no volumen, profundidad ni una partición global cerrada.","S189, resultados del modelo de área.","BN-097 separa área de fondo, volumen y profundidad.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=97d0166b4cb335c2350e74dbc1f25ccae1e67538f2435ea6ad0171008c4eff4e; final_sha256=4defed0c39ed59718bb05284003eac41708ed56c9c9a479b0019c7473836ae01","01b7ef78cb2c473b6a33e59e012bafbb7ad9d54ff4d8284b626015bf889af6ba"
"BN-098","15.4","CONSERVADA_REFORMULADA","Los inventarios estandarizan riqueza y ocurrencias fósiles, no densidad celular de comunidades del corredor.","Literatura paleobiológica auditada.","BN-098 conserva el denominador células por volumen o área.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=5bb032ea88e5249cd60ef3209513d7f498717c52bea7301a049f6333a80ef364; final_sha256=c9110a1edbcb449c268201b0488c199593560069020762c05149025ae46f0761","096d6c5e2b4dcdc4be51cb02423d569c95b1227fce1a2b3c8dca93e56a5b31a5"
"BN-099","15.4","CONSERVADA_REFORMULADA","La biogeografía recuperada es específica de marcador, especie, provincia y profundidad; no define una escala universal de dispersión.","Estudios poblacionales y ambientales auditados.","BN-099 conserva el residual universal.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=4d4695ae97b99d71a62e9ffd751eb82967dd0ee0302541cec4f9dc1e8caaa2ba; final_sha256=dcdd15dfb5be87c30dd457354015b86ef87ab9ae7d94206a2262912b9e9c7231","4ac1e73cc13448dc5d072d7646c03f7f9556818bf874495819fb5b558d40d633"
"BN-100","15.4","CONSERVADA_REFORMULADA","Cinco pM es la menor concentración de EroS ensayada con actividad, no EC50 ni umbral universal.","Woznica et al. 2017, S203, figura de dosis.","BN-100 registra el punto ensayado y conserva EC50/umbral.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=64d3885c91132c9c6d9b2b82cd4dedb2be7282a17bab020ea076b3c57e86bbe4; final_sha256=a30614d885c843b06118e327711093ee73c842dd7e7792c863fce349bc091ebc","fcbb2fc8a5b260155a9c198e8cd1ea28806e3fc1c7c0aeda766cf15c40e32373"
"BN-101","15.4","CONSERVADA_REFORMULADA","RIF, EroS y agregación de Capsaspora tienen cinéticas específicas de protocolo y no una reversión directamente comparable.","S203, S427, S428 y protocolos respectivos.","BN-101 queda desglosada por inductor y endpoint.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=4fd1db801c3b63f45eecfb0c0e2ed30a84e61a6e1bf22cf3993f5339d47b5c5e; final_sha256=60e4cb1cc0ad5d0c77ad36974d229a48b93d94e170814af1f74a70831482bf59","111cea3626cafc6fabdd252f1282d5cce465d2c25d80e4ee87b2f472fae8031b"
"BN-102","15.4","CONSERVADA_REFORMULADA","Un ensayo de Salpingoeca publicó 35–65 bacterias por célula y hora; otros linajes y microesferas usan denominadores distintos.","Fuente primaria de alimentación auditada; S477 como comparando no equivalente.","BN-102 conserva la comparación multilinaje homogénea.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=2e99681668aea87eb97907c68f9dc9116949ebab108b51f2833ee2fa4ffd7067; final_sha256=bdbb7dbb81370580e23dbe70183e56531ee8d20a7525c59e02dff8ce44ad9108","601a4cf2f01c4e0a3e2aec3c451b6946dda035a6307c8c6052b59a28bce7dbdc"
"BN-103","15.4","RETIRADA_DUPLICADA_FUSIONADA","Repetía costes de rosetas, agregados y coenocitos ya controlados por arquitectura.","BN-077, BN-083 y BN-086 en el registro original.","Fusionada en la BN-083 maestra.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","9ade6045d1c08ebb3988168f6186d42517a8e56bd7d9cd1f22d48df2cb9738de"
"BN-108","15.4","CONSERVADA_CONFIRMADA","No se localizó una curva de crecimiento o tiempo de generación publicado para Apusomonadida bajo condiciones cuantificadas.","Medios, temperaturas y repiques no equivalen a tasa de división.","BN-108 conserva búsqueda y fecha de corte.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=29bbaf16036a2867a83cf97ff982fa19835658c36480e2c2a4605e0830deb373; final_sha256=75cc898ac53685f2b143264bb5605033f5daa3c6eec09a2c98d77865b96027b6","348815ed44a8e7d2adb06264bfd4ffab485439a3d02c8ebb726a2949787c0505"
"BN-109","15.4","CONSERVADA_REFORMULADA","Las transiciones redox publicadas son intervalos estratigráficos locales dependientes de cuenca, proxy y resolución.","S459 solo aporta análogos cretácicos de alta resolución.","BN-109 conserva la constante Proterozoica universal no publicada.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=a17f4fc928ba7b0270a9be7a8671a907df7cf3b12fd177d2784103de2f9661cc; final_sha256=759c05b2dc809404e9441a0478542a56652a5a735bf93a8075940c00f570ca3a","cae7442c60f832656ffee53cd464588c9bf04454259ff00c683194f1246de651"
"BN-112","15.4","CONSERVADA_REFORMULADA","Un estudio de 2026 reconstruyó cuatro transiciones a osmotrofia, no un recuento uniforme pan-eucariota de pérdidas de fagocitosis.","Estudio filogenómico 2026 auditado; S79 mide otros objetos.","BN-112 registra las cuatro transiciones y conserva el recuento global.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=580f0d9d041f167e3945e4f7543ea24642ddd51204d58c868cbc6b695c9d2d4f; final_sha256=e6bce7d3390f19b8b8b72f9d052289ccb30a5ef63dce6e94aee2e0f62181420e","251d00e55071ab2a5d20e19b0a142e6ea942fc722f705669ba38cf59d0af6c4f"
"BN-037","15.5","RETIRADA_RESUELTA","Exposiciones bacterianas concretas no indujeron rosetas detectables en el endpoint experimental.","Alegado et al., controles bacterianos del ensayo de inducción.","Resultado nulo integrado sin generalizar a toda consecuencia.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","346db7ca4d60d3e0702705e8f83ea3ac196636f8c742de4a46a6497829cb0d1a"
"BN-038","15.5","CONSERVADA_CONFIRMADA","No se localizó retorno autónomo a vida libre del mismo endosimbionte obligado y genómicamente reducido.","Revisiones y casos de reemplazo, pérdida y persistencia.","BN-038 conserva el criterio de identidad del mismo linaje.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","f5136fdb3ae3e413632300d0696013f0a3c58dbace85046919fa41beed775653"
"BN-039","15.5","RETIRADA_RESUELTA","La divergencia UCYN-A1/A2 de aproximadamente 91 Ma sirve como ancla inferida de asociación ancestral probable, no como fecha directa de captura.","Cornejo-Castillo et al. 2016, 10.1038/ncomms11071.","Edad integrada con caveat inferencial.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","7f5de61a9045d664aa3c62f3f6ae12a7f138c8128989120639b16887220cf634"
"BN-040","15.5","CONSERVADA_REFORMULADA","Un informe KAKEN enumera 30 genes candidatos de posible EGT en Hatena; falta validación nuclear, filogenética y funcional publicada.","KAKEN 23117004, informe final.","BN-040 registra candidatos y conserva demostración de EGT.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","d5655a2ff0e88a6580138606c2087402fbcd0f13123fce7a5d4335467a65db4a"
"BN-041","15.5","RETIRADA_DUPLICADA_FUSIONADA","La tabla de endosimbiosis recientes era un subconjunto de la cronología comparada maestra.","Coincidencia de campos con BN-111.","Fusionada en BN-111.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","1785fc98d30c71712619cecd0aac3b47739f5e47a26fb4b44488abc85e0024d7"
"BN-042","15.5","RETIRADA_DUPLICADA_FUSIONADA","La ficha de endosimbiosis terciarias era otro bloque de la cronología comparada maestra.","Burki et al. 2014 y coincidencia de campos con BN-111.","Fusionada en BN-111.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","0d8a3b5888a0195f3ffc363859debc671e14d9d12cd0c79624dce4bc5b5a0e31"
"BN-043","15.5","CONSERVADA_REFORMULADA","La pérdida génica muestra una fase intensa de transición y erosión posterior dependiente del linaje, no una tasa universal genes por Ma.","Forni et al. 2026, 10.1016/j.ympev.2026.108532; Tamas 2002.","BN-043 conserva solo la tasa temporal universal.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","1c376cb3edbfd3387d77a6173ab9cb6faa861f9547b4080b0fb353215b11244e"
"BN-044","15.5","CONSERVADA_REFORMULADA","Vitaminas B fue el correlato consistente de simbiosis obligada en el muestreo de insectos; no regla necesaria y suficiente pan-eucariota.","Cornwallis et al. 2023, 10.1038/s41559-023-02058-0.","BN-044 registra dominio y tamaño de muestra.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","c2029680f3de3a63d2cc89dce52308e8264569bc111859c6ed14485775e060f3"
"BN-045","15.5","CONSERVADA_REFORMULADA","MRO aerobias, anaerobias, hidrogenosomas y mitosomas tienen vías distintas; los mitosomas no producen ATP organelar.","Müller et al. 2012; Lithgow y Schneider 2010.","BN-045 conserva un rendimiento bajo sustrato y denominador comunes.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","ee7fd0e8ac98f1b7a6507063428a67ab61f3e468b52ae3ab3a91abef969ad75a"
"BN-046","15.5","CONSERVADA_REFORMULADA","Modelos de simbiontes de insectos estiman reciclaje de 30–80 % frente a 10–15 % del nitrógeno según tamaño genómico; no es coste neto universal.","Ankrah et al. 2018, 10.1128/mBio.01433-18; Clavé 2022.","BN-046 conserva cada sistema y denominador por separado.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","2c22bde0217a7870f5ec6523906255c60226ac11147d3022cb87eeb02c51949e"
"BN-047","15.5","RETIRADA_DUPLICADA_FUSIONADA","La auditoría nominal de cada simbionte duplicaba la auditoría global y excedía el alcance mecanístico.","C01-PROMPT-INVESTIGACION y BN-073 original.","Retirada; se verifican solo nombres efectivamente usados.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","908041eaaf420e12c74a545d7e6b833a5e0490d2f35c009e8e074f7f8ae98dec"
"BN-048","15.5","CONSERVADA_REFORMULADA","Hay fracciones de transposones de 5–9 % en varios holozoos y menos de 2,5 % en otros; TE más repeticiones alcanza 17 % y 34 % en dos ensamblajes fragmentados.","Grau-Bové et al. 2017, 10.7554/eLife.26036; Suga 2013.","BN-048 conserva cobertura pan-corredor con pipeline homogéneo.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","1ed4d5c05ed581f7045d89dc47be6053a2ea35499f9c0f2cd506363379fb789e"
"BN-110","15.5","CONSERVADA_CONFIRMADA","No existe un metaanálisis global actual con una sola filogenia y codificación para todas las reducciones mitocondriales.","Lithgow y Schneider: mínimos históricos de al menos 3 hidrogenosomas y 4 mitosomas; Butenko 2024.","BN-110 separa categorías y conserva mínimos históricos.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","d357c66ecd2000c0053357d98c855b701bff4d72f8d5d4c06839ced4ad853409"
"BN-111","15.5","CONSERVADA_REFORMULADA","Las fuentes fechan divergencias, adquisiciones o clados distintos y demuestran estados presentes; no fechan todos los pasos de organelogénesis.","Paulinella, UCYN-A, diazoplastos, Hatena y plastidios terciarios auditados caso por caso.","BN-111 es la matriz maestra con NO FECHADO, NO MEDIDO y NO COMPARABLE.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","ce4b0be8f2d7168082aa3610c5ebcb04cfbe4edb1d85d0d6d8414baf4c433c50"
"BN-113","15.5","CONSERVADA_REFORMULADA","Hay al menos 223 orígenes de parasitismo en 15 filos animales y al menos 16 orígenes de simbiosis obligada en el muestreo de insectos; no una frecuencia pan-eucariota.","Weinstein y Kuris 2016; Cornwallis et al. 2023.","BN-113 conserva universo, unidad y denominador.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","c946d2705f22fef2c181eb51d777aa9512959e5730e37ad6bd9ff7033f18c828"
"BN-049","15.6","CONSERVADA_REFORMULADA","Membrana, poros y transporte Ran-GTP son componentes cuantificados; no existe una suma ancestral de núcleo completo.","S307; S312/S313; Scott et al. 2024, 10.1083/jcb.202308152.","BN-049 conserva el presupuesto integral y absorbe BN-012.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","fc3ab9c46705ebf4728f4fd072b18992c35e1b143d8475069195fcb71f9a0bc0"
"BN-050","15.6","CONSERVADA_REFORMULADA","El modelo publicado de proto-RE puede dar beneficio neto y la pinocitosis pequeña no lo da en los rangos examinados; no modela el sistema completo.","S342, 10.1016/j.celrep.2025.115533.","BN-050 conserva el presupuesto total de endomembranas.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","92fbccc0225f531caa6085ce492d54f748c8bace219c0fb7f80d6cda71ce4e75"
"BN-051","15.6","CONSERVADA_CONFIRMADA","La literatura mide ATP relativo o contenido celular durante fagocitosis, no ATP neto por presa en un holozoo unicelular.","S328, S329; Wang et al. 2023; Dayel y King 2014.","BN-051 conserva denominador y corrección por resíntesis.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","411d4500228a09658d9b4a0daa90154fedde9323bb5d1d214925a9d04756f36f"
"BN-052","15.6","CONSERVADA_CONFIRMADA","PEX1/PEX6 demuestra pasos dependientes de ATP, pero no ATP por importación ni presupuesto de peroxisoma completo.","Pedrosa 2019; Gardner 2018; Rüttermann 2023.","BN-052 conserva construcción, operación y recambio.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","70fb9eb83128a9c231b117d41f1b1181191bbe0bde3ab189fa7aa03c4438acad"
"BN-053","15.6","CONSERVADA_CONFIRMADA","Arquitectura mitótica y calorimetría embrionaria no aíslan costes de mitosis abierta, cerrada y semiabierta en células comparables.","S333, S334; Rodenfels 2020.","BN-053 conserva comparación energética homogénea.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","224949ced8db794c9415963611df3af469315df62e17a029a2c84af1892fbb5e"
"BN-054","15.6","CONSERVADA_CONFIRMADA","No hay balance que sume biogénesis y operación mitocondrial y reste ATP producido para el proto-orgánulo.","S307, S312/S313, S316 y S341.","BN-054 reformulada como balance neto integrado.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","877dd790b20e6c5ba9d38f7c308c8d8847b945a45bb039228d094db0d21b309b"
"BN-055","15.6","CONSERVADA_REFORMULADA","Perturbaciones cuantifican agregación, reversibilidad, reagrupamiento y proliferación; no ATP de adhesión.","S427, S428; S486, 10.64898/2026.06.27.734982, preprint.","BN-055 conserva el coste energético y registra proxies.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=resultado o motivo; inicial_sha256=afc68f8ec3cd7faefdd7fbae957075bc8217c88371a7dff3c4502bb9dbf2104b; final_sha256=fbb6a1a69565936fe5d0f996eb8e02594b163dd4f836a4b710e646292e4d36c2","76a95533213917992b76d3042e388653a9472066468bf6e23023e8d08761043f"
"BN-056","15.6","CONSERVADA_REFORMULADA","Rutas p38, Ca2+ y Cupidon tienen salidas funcionales, pero no presupuesto total de ATP/GTP de señalización.","Rutaganira 2025; Colgren y Burkhardt 2025; S486.","BN-056 conserva el total y separa rutas.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","9c15fdfe3a9dfe7e7faa13b472bc3933971723f62ccdf8268f6cf689d19867c6"
"BN-057","15.6","CONSERVADA_REFORMULADA","Trypanosoma brucei tiene un presupuesto publicado de 6,0 × 10^11 ATP por célula y ciclo y un residual publicado de aproximadamente 5,5 %; no desglosa exhaustivamente todos los rasgos pedidos.","S341 y corrección S487.","BN-057 conserva el cierre exhaustivo, ya no afirma que todo provenga de organismos distintos.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=b2d916eb81088db8ac3a095ec565d73a38d74314e9ff6f3328cd7e8faa6e637d; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; CAMBIO_CANONICO_DOCUMENTADO; campos=resultado o motivo; inicial_sha256=093771b26386331cbf239a3312cc52f25cdf2b2073bf7e24e5817cfa9beda55d; final_sha256=08259cb30e941c281d3b662955f745b992072ef889e2dfdb94940f76e02803d5","ccf6138cc4a29ea5beefe5f4a0b326acd93fb6b9c934cc92a1553c76effc4372"
"BN-058","15.6","CONSERVADA_REFORMULADA","Hay módulos cuantitativos para membranas, poros, proto-RE, mitocondria, flagelo y un protista moderno; no suma homogénea de FECA o LECA.","S307, S312, S342, S341.","BN-058 conserva el presupuesto ancestral integrador.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","2a69dec1e40fa6dcb2ebf588598358633818da62e04b57745a9491e79774a520"
"BN-059","15.7","CONSERVADA_CONFIRMADA","Capsaspora tiene genes, agregación y respuestas conductuales documentadas, pero no plasmogamia, cariogamia, meiosis y progenie recombinante observadas.","S352, S427, S428; literatura 2023–2026.","BN-059 conserva el ciclo completo.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","8f9a00034b188c2eafcf068d5a862740cf8fb8355e768be2c904dce370ee2c99"
"BN-060","15.7","CONSERVADA_REFORMULADA","Se publicaron ventanas de 11 días, menos de 2 %, 15–30 min, 16 h y 2 días; ninguna es ATP o flujo metabólico por episodio.","S349, S203 y S486.","BN-060 conserva el coste energético y registra proxies temporales.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","b6a3e747c783452402ff48c275c4eae0355d8502b01ef5b23ded8968406fa6d0"
"BN-061","15.7","CONSERVADA_REFORMULADA","En cultivo se midieron densidad inductora, enjambres, contacto y fusión; no tasa natural de encuentro ni coste de oportunidad.","S203, S349 y S486.","BN-061 conserva el escenario natural.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","2e1b921f7445f8806885341d366a3ce3c66bc491a0c98340df6db38797c86f9b"
"BN-062","15.7","CONSERVADA_CONFIRMADA","Una revisión de 2024 declara incierta la meiosis de Ichthyosporea y no documenta el ciclo completo en los cuatro taxones solicitados.","S133, 10.1038/s42003-024-06608-5.","BN-062 pasa de búsqueda fallida a incertidumbre publicada.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","b18817d52f2f29e0bc390e28033b4cd42efba42502e8b96f70eea3831a3675a2"
"BN-063","15.7","CONSERVADA_REFORMULADA","EroS se retiró tras 16 h con dos lavados para impedir nuevo apareamiento; falta la curva de desagregación y retorno basal.","S203, STAR Methods.","BN-063 conserva solo la cinética de recuperación.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","d897a57051d88d441eba49f698515a245152947facb6b84e7654ff2bd7f54e11"
"BN-064","15.7","CONSERVADA_REFORMULADA","Inanición, Cupidon, collar y anisogamia difieren de EroS, contacto cuerpo-cuerpo e isogamia; la señal nutricional aguas arriba sigue desconocida.","S486, preprint, figs. 2–5.","BN-064 conserva la entrada nutricional e integración completa.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","33a782226acc76e56b616fe1503b96032c6ac1951c5fe48ed29ae75e76b8776f"
"BN-065","15.7","CONSERVADA_CONFIRMADA","La maquinaria sexual de LECA es reconstruible; una señal ambiental concreta no se polariza a partir de desencadenantes modernos diversos.","S357 y S78.","BN-065 codificada como no identificabilidad filogenética.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","17ef97f198895622289137820d579e72f5530f974df0acce1b62092404afac98"
"BN-066","15.7","CONSERVADA_REFORMULADA","Progenie haploide se detectó a los 2 días y el retorno poblacional dentro de 3 días; no es duración citológica de meiosis I y II.","S203 STAR Methods; S349 resultados.","BN-066 conserva la duración citológica y registra límites superiores.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","9d02d125fe90eb16bfcebecd3e003a65c31ee1bb76d665030c6277c05a72b292"
"BN-067","15.7","CONSERVADA_REFORMULADA","Se midieron dimorfismo, contacto y fusión; el preprint informa 61 % y 55 % de alargamiento, pero no biomasa, ATP o aptitud tamaño–número.","S349; S486.","BN-067 conserva el balance de recursos y fecundidad.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","ef1469fd883b29d0a2fe52fe18d771b8ce6e22a4d9c98472c9ea7fdf176f720a"
"BN-068","15.7","RETIRADA_FUERA_DE_ALCANCE","La topología y evolución de gametos dentro de Metazoa están excluidas porque Metazoa es terminal.","C01-PROMPT-INVESTIGACION, sección 1.","Retirada del denominador científico.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","3e8c425002ef3f99887fc00659f60ee22d6449136c8ac00851f0c9914ae703e5"
"BN-069","15.8","RETIRADA_RESUELTA","RegNum no devolvió definiciones PhyloCode para siete nombres consultados al 2026-08-08; el resultado es una observación registral fechada.","Búsquedas oficiales individuales en RegNum.","Integrada como observación de base, no ausencia universal.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","84322c1e006f0e2d905ede544bd417ae89748362d8b0649a8d3e51a386426fb8"
"BN-070","15.8","RETIRADA_RESUELTA","Lang et al. propusieron explícitamente Holozoa en 2002.","Lang et al. 2002, 10.1016/S0960-9822(02)01187-9.","Prioridad integrada en C-1663.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","0b453d3b3ca3031079c6e30ee6a0a590c8831a82da9596b541d0a41ad71491aa"
