"etiqueta preferida","tipo","sinónimos y grafías alternativas","marcas (⚠, ≈, †, [F], [H]) como atributos de la fila","# de la fila del registro donde aparece por primera vez"
"60 °C","concepto o entidad biológica","n/a","n/a","C-1008"
"consorcio ANME-1–HotSeep-1","magnitud o conjunto de datos","n/a","n/a","C-1008"
"adición de H₂ al consorcio ANME-1–HotSeep-1","magnitud o conjunto de datos","n/a","n/a","C-1009"
"oxidación anaerobia de metano","concepto o entidad biológica","n/a","n/a","C-1009"
"transferencia eléctrica intercelular directa","proceso o relación","n/a","n/a","C-1010"
"ANME con aceptores artificiales","magnitud o conjunto de datos","n/a","n/a","C-1011"
"oxidación de metano desacoplada de SRB","taxón, organismo o linaje","n/a","n/a","C-1011"
"dependencia ANME–SRB","magnitud o conjunto de datos","n/a","n/a","C-1012"
"imposibilidad de desacoplamiento experimental","concepto o entidad biológica","n/a","n/a","C-1012"
"consorcio ANME–SRB","magnitud o conjunto de datos","n/a","n/a","C-1013"
"dependencia metabólica extracelular","proceso o relación","n/a","n/a","C-1013"
"consorcio procariota intracelular","concepto o entidad biológica","n/a","n/a","C-1014"
"Pelomyxa palustris","taxón, organismo o linaje","n/a","n/a","C-1014"
"endosimbionte de Pelomyxa palustris","taxón, organismo o linaje","n/a","n/a","C-1015"
"Methanobacterium formicicum DSM 3637","concepto o entidad biológica","n/a","n/a","C-1015"
"3 × 0,4 µm","magnitud o conjunto de datos","n/a","n/a","C-1016"
"aislado histórico Methanobacterium formicicum","concepto o entidad biológica","n/a","n/a","C-1016"
"10 h con H₂/CO₂; 12 h con formiato","concepto o entidad biológica","n/a","n/a","C-1017"
"Methanobacterium formicicum detectable","concepto o entidad biológica","n/a","n/a","C-1018"
"Pelomyxa palustris de S231","taxón, organismo o linaje","n/a","n/a","C-1018"
"afirmación C-1015","magnitud o conjunto de datos","n/a","n/a","C-1019"
"evidencia genómica y ausencia en Pelomyxa reexaminada","taxón, organismo o linaje","n/a","n/a","C-1019"
"metanogénesis hidrogenotrófica central","concepto o entidad biológica","n/a","n/a","C-1020"
"Pelomyxa schiedti y sus endosimbiontes","taxón, organismo o linaje","n/a","n/a","C-1020"
"endosimbionte metanógeno de Pelomyxa palustris no identificado con certeza","taxón, organismo o linaje","n/a","n/a","C-1021"
"sin resolver","concepto o entidad biológica","n/a","n/a","C-1021"
"32 especies","concepto o entidad biológica","n/a","n/a","C-1022"
"muestreo de ciliados anaerobios de S234","taxón, organismo o linaje","n/a","n/a","C-1022"
"especificidad parcial por hospedador y hábitat","concepto o entidad biológica","n/a","n/a","C-1023"
"metanógenos de ciliados anaerobios","taxón, organismo o linaje","n/a","n/a","C-1023"
"metanógenos endosimbióticos de ciliados","taxón, organismo o linaje","n/a","n/a","C-1024"
"varios órdenes arqueanos","concepto o entidad biológica","n/a","n/a","C-1024"
"simbiontes metanógenos de ciliados de S236","taxón, organismo o linaje","n/a","n/a","C-1025"
"adquisición múltiple y transmisión mixta","proceso o relación","n/a","n/a","C-1026"
"simbiontes metanógenos de ciliados de S235","taxón, organismo o linaje","n/a","n/a","C-1026"
"transmisión universal exclusivamente vertical","proceso o relación","n/a","n/a","C-1027"
"Angomonas deanei","concepto o entidad biológica","n/a","n/a","C-1028"
"un Candidatus Kinetoplastibacterium por célula","concepto o entidad biológica","n/a","n/a","C-1028"
"Candidatus Kinetoplastibacterium de Angomonas","concepto o entidad biológica","n/a","n/a","C-1029"
"división sincronizada con hospedador","concepto o entidad biológica","n/a","n/a","C-1029"
"aproximadamente 0,8 Mb","magnitud o conjunto de datos","n/a","n/a","C-1030"
"Candidatus Kinetoplastibacterium","concepto o entidad biológica","n/a","n/a","C-1030"
"anillo de división del hospedador alrededor del endosimbionte","concepto o entidad biológica","n/a","n/a","C-1031"
"división de Kinetoplastibacterium","concepto o entidad biológica","n/a","n/a","C-1032"
"ETP9","gen, proteína o sistema molecular","n/a","n/a","C-1032"
"gen OCD desde endosimbionte al núcleo","gen, proteína o sistema molecular","n/a","n/a","C-1033"
"localización glicosomal","magnitud o conjunto de datos","n/a","n/a","C-1034"
"proteína OCD de origen endosimbiótico","gen, proteína o sistema molecular","n/a","n/a","C-1034"
"importación de la proteína al endosimbionte","concepto o entidad biológica","n/a","n/a","C-1035"
"transferencia génica endosimbiótica en Angomonas","proceso o relación","n/a","n/a","C-1035"
"Paramoeba","concepto o entidad biológica","n/a","n/a","C-1036"
"Perkinsela","concepto o entidad biológica","n/a","n/a","C-1036"
"aproximadamente 9,5 Mb","magnitud o conjunto de datos","n/a","n/a","C-1037"
"genoma nuclear de Perkinsela","magnitud o conjunto de datos","n/a","n/a","C-1037"
"reducción celular con rasgos kinetoplástidos retenidos","proceso o relación","n/a","n/a","C-1038"
"interdependencia metabólica","proceso o relación","n/a","n/a","C-1039"
"Perkinsela–Paramoeba","concepto o entidad biológica","n/a","n/a","C-1039"
"citoplasma de Paramoeba dentro de una asociación obligada","magnitud o conjunto de datos","n/a","n/a","C-1040"
"genoma mitocondrial de Perkinsela","magnitud o conjunto de datos","n/a","n/a","C-1041"
"seis genes codificantes de proteínas","magnitud o conjunto de datos","n/a","n/a","C-1041"
"integración celular sin fusión genómica completa","proceso o relación","n/a","n/a","C-1042"
"90–140 Ma","magnitud o conjunto de datos","n/a","n/a","C-1043"
"endosimbiosis del cromatóforo de Paulinella","magnitud o conjunto de datos","n/a","n/a","C-1043"
"1,02 Mb","magnitud o conjunto de datos","n/a","n/a","C-1044"
"genoma del cromatóforo de Paulinella chromatophora","magnitud o conjunto de datos","n/a","n/a","C-1044"
"867 genes codificantes de proteínas","magnitud o conjunto de datos","n/a","n/a","C-1045"
"cromatóforo de Paulinella","magnitud o conjunto de datos","n/a","n/a","C-1046"
"parte del repertorio génico cianobacteriano","concepto o entidad biológica","n/a","n/a","C-1046"
"0,3–0,8 % de genes de origen cromatofórico","magnitud o conjunto de datos","n/a","n/a","C-1047"
"genoma nuclear de Paulinella chromatophora","magnitud o conjunto de datos","n/a","n/a","C-1047"
"11–14 %","magnitud o conjunto de datos","n/a","n/a","C-1048"
"genes nucleares de origen plastidial en Archaeplastida","magnitud o conjunto de datos","n/a","n/a","C-1048"
"al menos dos genes fotosintéticos al núcleo","magnitud o conjunto de datos","n/a","n/a","C-1049"
"importación de proteínas al cromatóforo","magnitud o conjunto de datos","n/a","n/a","C-1050"
"genes bacterianos complementarios por HGT","magnitud o conjunto de datos","n/a","n/a","C-1051"
"integración por procesos genéticos de más de un origen","proceso o relación","n/a","n/a","C-1052"
"transmisión vertical intracelular","proceso o relación","n/a","n/a","C-1053"
"Braarudosphaera bigelowii","taxón, organismo o linaje","n/a","n/a","C-1054"
"UCYN-A","concepto o entidad biológica","n/a","n/a","C-1054"
"nitrógeno fijado hacia Braarudosphaera","taxón, organismo o linaje","n/a","n/a","C-1055"
"carbono hacia UCYN-A","concepto o entidad biológica","n/a","n/a","C-1056"
"división coordinada con hospedador","concepto o entidad biológica","n/a","n/a","C-1057"
"importación de proteínas nucleares del hospedador","magnitud o conjunto de datos","n/a","n/a","C-1058"
"nitroplasto","orgánulo o compartimento","n/a","n/a","C-1059"
"UCYN-A de Braarudosphaera","taxón, organismo o linaje","n/a","n/a","C-1059"
"umbral universal endosimbionte-orgánulo","orgánulo o compartimento","n/a","n/a","C-1060"
"asociación ancestral UCYN-A–prymnesiófito","proceso o relación","n/a","n/a","C-1061"
"Nephroselmis dentro de Hatena","taxón, organismo o linaje","n/a","n/a","C-1063"
"remodelación intracelular","concepto o entidad biológica","n/a","n/a","C-1063"
"herencia asimétrica del simbionte","concepto o entidad biológica","n/a","n/a","C-1064"
"célula hija de Hatena sin simbionte","taxón, organismo o linaje","n/a","n/a","C-1065"
"reacquisición horizontal por alimentación","concepto o entidad biológica","n/a","n/a","C-1065"
"Hatena–Nephroselmis","taxón, organismo o linaje","n/a","n/a","C-1066"
"transmisión mixta asimétrica","proceso o relación","n/a","n/a","C-1066"
"aparato nif de origen cianobacteriano","gen, proteína o sistema molecular","n/a","n/a","C-1068"
"cuerpo esferoidal de Rhopalodia gibba","orgánulo o compartimento","n/a","n/a","C-1068"
"cuerpo esferoidal de Epithemia turgida","orgánulo o compartimento","n/a","n/a","C-1069"
"genoma reducido especializado en fijación de nitrógeno","magnitud o conjunto de datos","n/a","n/a","C-1069"
"cuerpos esferoidales de Rhopalodia y Epithemia","taxón, organismo o linaje","n/a","n/a","C-1070"
"fotosíntesis con retención de fijación de N₂","concepto o entidad biológica","n/a","n/a","C-1070"
"genes de Hatena analizados por el proyecto KAKENHI 23117004","magnitud o conjunto de datos","n/a","n/a","C-1071"
"30 posibles candidatos de EGT","magnitud o conjunto de datos","n/a","n/a","C-1071"
"Mesodinium rubrum","taxón, organismo o linaje","n/a","n/a","C-1072"
"orgánulos y núcleo de criptófitas","orgánulo o compartimento","n/a","n/a","C-1072"
"dinámica dependiente de alimentación","concepto o entidad biológica","n/a","n/a","C-1073"
"núcleos secuestrados en Mesodinium","taxón, organismo o linaje","n/a","n/a","C-1073"
"dependencia de alimentación periódica","proceso o relación","n/a","n/a","C-1074"
"Dinophysis","taxón, organismo o linaje","n/a","n/a","C-1075"
"Mesodinium y sus plastos criptófitos","taxón, organismo o linaje","n/a","n/a","C-1075"
"retención selectiva principalmente de plastos","concepto o entidad biológica","n/a","n/a","C-1076"
"control fotoaclimatativo limitado","magnitud o conjunto de datos","n/a","n/a","C-1077"
"Dinophysis con kleptoplastos","orgánulo o compartimento","n/a","n/a","C-1077"
"Elysia chlorotica","taxón, organismo o linaje","n/a","n/a","C-1078"
"Vaucheria litorea y sus plastos","concepto o entidad biológica","n/a","n/a","C-1078"
"HGT germinal extensa localizada","concepto o entidad biológica","n/a","n/a","C-1079"
"genes nucleares fotosintéticos adquiridos","magnitud o conjunto de datos","n/a","n/a","C-1080"
"Plakobranchus ocellatus","taxón, organismo o linaje","n/a","n/a","C-1080"
"adquisición fenotípica no genética","concepto o entidad biológica","n/a","n/a","C-1081"
"kleptoplastia","orgánulo o compartimento","n/a","n/a","C-1081"
"373.000 bp y 331 genes","magnitud o conjunto de datos","n/a","n/a","C-1082"
"genoma nucleomórfico de Bigelowiella natans","magnitud o conjunto de datos","n/a","n/a","C-1082"
"tres cromosomas lineales","magnitud o conjunto de datos","n/a","n/a","C-1083"
"551 kb","magnitud o conjunto de datos","n/a","n/a","C-1084"
"genoma nucleomórfico de Guillardia theta","magnitud o conjunto de datos","n/a","n/a","C-1084"
"17 intrones y 44 genes solapados","magnitud o conjunto de datos","n/a","n/a","C-1085"
"dos orígenes endosimbióticos eucariotas independientes","magnitud o conjunto de datos","n/a","n/a","C-1086"
"nucleomorfos","orgánulo o compartimento","n/a","n/a","C-1086"
"fase intermedia obligatoria","concepto o entidad biológica","n/a","n/a","C-1087"
"reducción genómica de endosimbiontes de Enterobacterales","proceso o relación","n/a","n/a","C-1088"
"pico inicial de pérdida seguido por erosión más lenta","concepto o entidad biológica","n/a","n/a","C-1088"
"Moranella endobia","taxón, organismo o linaje","n/a","n/a","C-1089"
"Tremblaya princeps","taxón, organismo o linaje","n/a","n/a","C-1089"
"138.927 bp","magnitud o conjunto de datos","n/a","n/a","C-1090"
"genoma de Tremblaya princeps","magnitud o conjunto de datos","n/a","n/a","C-1090"
"538.294 bp","magnitud o conjunto de datos","n/a","n/a","C-1091"
"genoma de Moranella endobia","magnitud o conjunto de datos","n/a","n/a","C-1091"
"consorcio Planococcus–Tremblaya–Moranella","taxón, organismo o linaje","n/a","n/a","C-1092"
"mosaico metabólico tripartito","concepto o entidad biológica","n/a","n/a","C-1092"
"genes bacterianos para la simbiosis tripartita","magnitud o conjunto de datos","n/a","n/a","C-1093"
"Planococcus citri","concepto o entidad biológica","n/a","n/a","C-1093"
"endosimbionte intrabacteriano de Tremblaya","taxón, organismo o linaje","n/a","n/a","C-1094"
"reemplazo evolutivo repetido","concepto o entidad biológica","n/a","n/a","C-1094"
"identidad invariable del endosimbionte interno","concepto o entidad biológica","n/a","n/a","C-1095"
"simbiosis anidada de piojos harinosos","proceso o relación","n/a","n/a","C-1095"
"640.681 bp y dos plásmidos","magnitud o conjunto de datos","n/a","n/a","C-1096"
"genoma de Buchnera sp. APS","magnitud o conjunto de datos","n/a","n/a","C-1096"
"aminoácidos esenciales hacia áfidos","taxón, organismo o linaje","n/a","n/a","C-1097"
"Buchnera aphidicola","taxón, organismo o linaje","n/a","n/a","C-1097"
"transmisión vertical obligada","proceso o relación","n/a","n/a","C-1098"
"80–150 Ma","magnitud o conjunto de datos","n/a","n/a","C-1099"
"divergencia entre cepas de Buchnera estudiadas","taxón, organismo o linaje","n/a","n/a","C-1099"
"616 genes proteicos y 39 genes de ARN","magnitud o conjunto de datos","n/a","n/a","C-1100"
"genoma ancestral de Buchnera reconstruido","magnitud o conjunto de datos","n/a","n/a","C-1100"
"412–646 kb; 354–587 genes proteicos","magnitud o conjunto de datos","n/a","n/a","C-1101"
"genomas modernos de Buchnera","magnitud o conjunto de datos","n/a","n/a","C-1101"
"genes en trayectorias no aleatorias","magnitud o conjunto de datos","n/a","n/a","C-1102"
"parasitismo, mutualismo facultativo u obligado","proceso o relación","n/a","n/a","C-1103"
"Wolbachia","taxón, organismo o linaje","n/a","n/a","C-1103"
"transmisión vertical materna frecuente","magnitud o conjunto de datos","n/a","n/a","C-1104"
"transmisión horizontal interespecífica común","proceso o relación","n/a","n/a","C-1105"
"Wolbachia de lepidópteros","taxón, organismo o linaje","n/a","n/a","C-1105"
"genomas de Wolbachia","magnitud o conjunto de datos","n/a","n/a","C-1106"
"hasta 10 % de elementos de inserción","magnitud o conjunto de datos","n/a","n/a","C-1106"
"un desenlace uniforme","concepto o entidad biológica","n/a","n/a","C-1107"
"dependencia hospedador-simbionte","proceso o relación","n/a","n/a","C-1108"
"tamaño genómico del simbionte bajo transmisión vertical","magnitud o conjunto de datos","n/a","n/a","C-1108"
"correlación equivalente entre dependencia y genoma reducido","magnitud o conjunto de datos","n/a","n/a","C-1109"
"simbiontes de transmisión horizontal","proceso o relación","n/a","n/a","C-1109"
"tamaño efectivo de población simbionte","magnitud o conjunto de datos","n/a","n/a","C-1110"
"transmisión vertical con cuello de botella","proceso o relación","n/a","n/a","C-1110"
"mayor efecto de deriva sobre mutaciones débiles","magnitud o conjunto de datos","n/a","n/a","C-1111"
"población simbionte pequeña","concepto o entidad biológica","n/a","n/a","C-1111"
"acumulación irreversible de carga mutacional","concepto o entidad biológica","n/a","n/a","C-1112"
"endosimbionte asexual con reparación reducida","concepto o entidad biológica","n/a","n/a","C-1112"
"desaceleración posible","concepto o entidad biológica","n/a","n/a","C-1113"
"trinquete de Muller en endosimbiontes primarios","magnitud o conjunto de datos","n/a","n/a","C-1113"
"endobacterias hereditarias de hongos de S299","concepto o entidad biológica","n/a","n/a","C-1114"
"recombinación retenida","concepto o entidad biológica","n/a","n/a","C-1114"
"genoma mínimo inevitable","magnitud o conjunto de datos","n/a","n/a","C-1115"
"reemplazo y diversidad de socios","concepto o entidad biológica","n/a","n/a","C-1116"
"función simbiótica disponible en el ambiente","concepto o entidad biológica","n/a","n/a","C-1117"
"selección por dependencia del socio","proceso o relación","n/a","n/a","C-1117"
"dependencia funcional","proceso o relación","n/a","n/a","C-1118"
"fidelidad taxonómica absoluta","concepto o entidad biológica","n/a","n/a","C-1118"
"dependencia metabólica del hospedador","proceso o relación","n/a","n/a","C-1119"
"reducción genómica del simbionte","proceso o relación","n/a","n/a","C-1119"
"trayectoria de reducción genómica universal","proceso o relación","n/a","n/a","C-1120"
"simbiosis obligadas de insectos en Cornwallis et al.","magnitud o conjunto de datos","n/a","n/a","C-1121"
"baja disponibilidad de vitaminas B","concepto o entidad biológica","n/a","n/a","C-1121"
"fosforilación oxidativa","concepto o entidad biológica","n/a","n/a","C-1122"
"mitocondria aerobia","orgánulo o compartimento","n/a","n/a","C-1122"
"orgánulos relacionados con mitocondrias","orgánulo o compartimento","n/a","n/a","C-1123"
"mitocondrias productoras de H₂","orgánulo o compartimento","n/a","n/a","C-1124"
"Nyctotherus ovalis","taxón, organismo o linaje","n/a","n/a","C-1124"
"genoma organelar","magnitud o conjunto de datos","n/a","n/a","C-1125"
"mitocondria productora de hidrógeno de Nyctotherus ovalis","orgánulo o compartimento","n/a","n/a","C-1125"
"cadena respiratoria truncada con complejos I y II","concepto o entidad biológica","n/a","n/a","C-1126"
"componentes de complejos III, IV y V","concepto o entidad biológica","n/a","n/a","C-1127"
"respiración con fumarato","magnitud o conjunto de datos","n/a","n/a","C-1128"
"metanógenos asociados a mitocondrias productoras de H₂","orgánulo o compartimento","n/a","n/a","C-1129"
"intermedio funcional entre mitocondrias aerobias e hidrogenosomas sin genoma","magnitud o conjunto de datos","n/a","n/a","C-1130"
"genoma y traducción organelar","magnitud o conjunto de datos","n/a","n/a","C-1131"
"hidrogenosoma de Trichomonas vaginalis","magnitud o conjunto de datos","n/a","n/a","C-1131"
"fermentación de piruvato con H₂, CO₂ y acetato","concepto o entidad biológica","n/a","n/a","C-1132"
"ATP por fosforilación a nivel de sustrato","concepto o entidad biológica","n/a","n/a","C-1133"
"proteoma totalmente importado","magnitud o conjunto de datos","n/a","n/a","C-1134"
"30 proteínas localizadas; 226 candidatos con presecuencia","magnitud o conjunto de datos","n/a","n/a","C-1135"
"proteoma hidrogenosomal de Trichomonas vaginalis","magnitud o conjunto de datos","n/a","n/a","C-1135"
"50–200 nm","magnitud o conjunto de datos","n/a","n/a","C-1136"
"mitosoma de Giardia intestinalis","magnitud o conjunto de datos","n/a","n/a","C-1136"
"aproximadamente 40 mitosomas por célula","magnitud o conjunto de datos","n/a","n/a","C-1137"
"Giardia intestinalis","taxón, organismo o linaje; concepto o entidad","n/a","n/a","C-1137"
"producción de ATP","concepto o entidad biológica","n/a","n/a","C-1138"
"maquinaria ISC de Fe–S","magnitud o conjunto de datos","n/a","n/a","C-1139"
"activación de sulfato","concepto o entidad biológica","n/a","n/a","C-1140"
"mitosoma de Entamoeba histolytica","magnitud o conjunto de datos","n/a","n/a","C-1140"
"mitosoma de Giardia limitado a ISC","magnitud o conjunto de datos","n/a","n/a","C-1141"
"maquinaria ISC funcional","magnitud o conjunto de datos","n/a","n/a","C-1142"
"mitosoma microsporidiano","magnitud o conjunto de datos","n/a","n/a","C-1142"
"componentes ISC colocalizados","gen, proteína o sistema molecular","n/a","n/a","C-1143"
"mitosoma de Encephalitozoon cuniculi","magnitud o conjunto de datos","n/a","n/a","C-1143"
"maquinaria ISC distribuida entre mitosoma y citosol","magnitud o conjunto de datos","n/a","n/a","C-1144"
"Trachipleistophora hominis","taxón, organismo o linaje","n/a","n/a","C-1144"
"diversidad entre mitosomas reducidos","magnitud o conjunto de datos","n/a","n/a","C-1145"
"mitocondria o MRO detectable","orgánulo o compartimento","n/a","n/a","C-1146"
"sistema SUF bacteriano citosólico","magnitud o conjunto de datos","n/a","n/a","C-1147"
"actividad funcional de maduración Fe–S","magnitud o conjunto de datos","n/a","n/a","C-1148"
"sistema SUF de Monocercomonoides exilis","magnitud o conjunto de datos","n/a","n/a","C-1148"
"preadaptación para pérdida mitocondrial","orgánulo o compartimento","n/a","n/a","C-1149"
"sistema SUF de Monocercomonoides","magnitud o conjunto de datos","n/a","n/a","C-1149"
"genoma mitocondrial","magnitud o conjunto de datos","n/a","n/a","C-1150"
"Henneguya salminicola","taxón, organismo o linaje","n/a","n/a","C-1150"
"maquinaria nuclear de mantenimiento de mtDNA","magnitud o conjunto de datos","n/a","n/a","C-1151"
"MRO sin genoma mitocondrial","magnitud o conjunto de datos","n/a","n/a","C-1152"
"pérdida de mtDNA","concepto o entidad biológica","n/a","n/a","C-1153"
"pérdida del orgánulo","orgánulo o compartimento","n/a","n/a","C-1153"
"múltiples trayectorias convergentes","concepto o entidad biológica","n/a","n/a","C-1154"
"reducción mitocondrial","orgánulo o compartimento","n/a","n/a","C-1154"
"rendimiento energético del gradiente mitocondrial","magnitud o conjunto de datos","n/a","n/a","C-1155"
"1 o 2–67 genes codificantes de proteínas","magnitud o conjunto de datos","n/a","n/a","C-1156"
"contenido proteico de genomas mitocondriales","magnitud o conjunto de datos","n/a","n/a","C-1156"
"hipótesis CoRR","hipótesis o concepto","n/a","n/a","C-1157"
"retención genómica para control redox local","concepto o entidad biológica","n/a","n/a","C-1157"
"hipótesis de hidrofobicidad","hipótesis o concepto","n/a","n/a","C-1158"
"retención de genes que codifican proteínas difíciles de importar","magnitud o conjunto de datos","n/a","n/a","C-1158"
"análisis de 2.015 genomas","magnitud o conjunto de datos","n/a","n/a","C-1159"
"retención génica mitocondrial","orgánulo o compartimento","n/a","n/a","C-1159"
"hipótesis de código genético divergente","hipótesis o concepto","n/a","n/a","C-1160"
"retención de genes por incompatibilidad de traducción","magnitud o conjunto de datos","n/a","n/a","C-1160"
"hipótesis de retención mitocondrial","orgánulo o compartimento","n/a","n/a","C-1161"
"múltiples causas simultáneas","concepto o entidad biológica","n/a","n/a","C-1161"
"genes de origen mitocondrial","magnitud o conjunto de datos","n/a","n/a","C-1162"
"genoma nuclear eucariota","magnitud o conjunto de datos","n/a","n/a","C-1162"
"no existe recuento único directo","concepto o entidad biológica","n/a","n/a","C-1163"
"número total de EGT mitocondrial ancestral","orgánulo o compartimento","n/a","n/a","C-1163"
"importación mediante TOM/TIM","gen, proteína o sistema molecular","n/a","n/a","C-1164"
"proteína mitocondrial nuclear","orgánulo o compartimento","n/a","n/a","C-1164"
"secuencia de destino y maquinaria de importación","magnitud o conjunto de datos","n/a","n/a","C-1165"
"transferencia génica endosimbiótica mitocondrial","orgánulo o compartimento","n/a","n/a","C-1165"
"elemento mitocondrial egoísta","orgánulo o compartimento","n/a","n/a","C-1166"
"ventaja de replicación intracelular con coste celular","concepto o entidad biológica","n/a","n/a","C-1166"
"mtDNA petite hipersupresivo","concepto o entidad biológica","n/a","n/a","C-1167"
"mtDNA respiratorio de levadura","concepto o entidad biológica","n/a","n/a","C-1167"
"cruzamientos de levadura con mtDNA hipersupresivo","concepto o entidad biológica","n/a","n/a","C-1168"
"más de 95 % de colonias respiratoriamente deficientes","magnitud o conjunto de datos","n/a","n/a","C-1168"
"herencia uniparental","concepto o entidad biológica","n/a","n/a","C-1169"
"heteroplasmia biparental inicial","proceso o relación","n/a","n/a","C-1169"
"origen exclusivo por conflicto citoplasmático","gen, proteína o sistema molecular","n/a","n/a","C-1170"
"cuello de botella mitocondrial germinal","orgánulo o compartimento","n/a","n/a","C-1171"
"mayor varianza entre descendientes","magnitud o conjunto de datos","n/a","n/a","C-1171"
"selección purificadora entre linajes celulares u organismos","concepto o entidad biológica","n/a","n/a","C-1172"
"coexistencia de más de un genotipo mitocondrial","orgánulo o compartimento","n/a","n/a","C-1173"
"heteroplasmia","proceso o relación","n/a","n/a","C-1173"
"carga mitocondrial sesgada contra machos","magnitud o conjunto de datos","n/a","n/a","C-1174"
"hipótesis de la maldición de la madre","magnitud o conjunto de datos","n/a","n/a","C-1174"
"9 × 9 = 81 genotipos","concepto o entidad biológica","n/a","n/a","C-1175"
"panel mitonuclear de Drosophila","concepto o entidad biológica","n/a","n/a","C-1175"
"8 de 9 fondos con mayor varianza masculina","magnitud o conjunto de datos","n/a","n/a","C-1176"
"ausencia de carga mutacional masculina global detectable","magnitud o conjunto de datos","n/a","n/a","C-1177"
"UK Biobank y maldición de la madre","magnitud o conjunto de datos","n/a","n/a","C-1177"
"evidencia mixta","concepto o entidad biológica","n/a","n/a","C-1178"
"control del conflicto mitocondrial o simbionte","orgánulo o compartimento","n/a","n/a","C-1179"
"hipótesis citoplasmática del origen de anisogamia","gen, proteína o sistema molecular","n/a","n/a","C-1179"
"incompatibilidad mitonuclear","concepto o entidad biológica","n/a","n/a","C-1180"
"interacción epistática entre mtDNA y genoma nuclear","magnitud o conjunto de datos","n/a","n/a","C-1180"
"conjugación, transformación y transducción","magnitud o conjunto de datos","n/a","n/a","C-1181"
"mecanismos de HGT procariota","concepto o entidad biológica","n/a","n/a","C-1181"
"HGT procariota-eucariota","concepto o entidad biológica","n/a","n/a","C-1182"
"mecanismos procariotas sin pasos adicionales","concepto o entidad biológica","n/a","n/a","C-1182"
"fagotrofia, endosimbiosis, virus, móviles y enlaces débiles","proceso o relación","n/a","n/a","C-1183"
"HGT hacia eucariotas","concepto o entidad biológica","n/a","n/a","C-1183"
"30.358 secuencias; 1.035.375 homólogos; 2.585 árboles","concepto o entidad biológica","n/a","n/a","C-1184"
"análisis de Ku y Martin","magnitud o conjunto de datos","n/a","n/a","C-1184"
"filtro de contaminación en HGT eucariota","concepto o entidad biológica","n/a","n/a","C-1185"
"regla del 70 %","magnitud o conjunto de datos","n/a","n/a","C-1185"
"HGT procariota-eucariota infrecuente y episódica","concepto o entidad biológica","n/a","n/a","C-1186"
"hipótesis de barrera natural de HGT","hipótesis o concepto","n/a","n/a","C-1186"
"hipótesis de barrera natural","hipótesis o concepto","n/a","n/a","C-1187"
"posición HGT eucariota extendida","concepto o entidad biológica","n/a","n/a","C-1187"
"evidencia filogenética y controles de ensamblaje","concepto o entidad biológica","n/a","n/a","C-1188"
"gen eucariota candidato a HGT","gen, proteína o sistema molecular","n/a","n/a","C-1188"
"HGT ligada a fagotrofia reiterada","proceso o relación","n/a","n/a","C-1189"
"hipótesis eres lo que comes","hipótesis o concepto","n/a","n/a","C-1189"
"entrada genética durante etapas celulares vulnerables","concepto o entidad biológica","n/a","n/a","C-1190"
"modelo de enlace débil","hipótesis o concepto","n/a","n/a","C-1190"
"función en biosíntesis de rodoquinona","concepto o entidad biológica","n/a","n/a","C-1191"
"rquA de Pygsuia biforma","magnitud o conjunto de datos","n/a","n/a","C-1191"
"múltiples eucariotas por HGT independiente","concepto o entidad biológica","n/a","n/a","C-1192"
"Pygsuia biforma","magnitud o conjunto de datos","n/a","n/a","C-1193"
"sistema SUF por HGT","magnitud o conjunto de datos","n/a","n/a","C-1193"
"HGT bacteriana funcional en anaerobiosis","concepto o entidad biológica","n/a","n/a","C-1194"
"Monocercomonoides y Pygsuia","taxón, organismo o linaje","n/a","n/a","C-1194"
"aproximadamente una sexta parte atribuida a HGT","magnitud o conjunto de datos","n/a","n/a","C-1195"
"genoma borrador de Hypsibius dujardini","magnitud o conjunto de datos","n/a","n/a","C-1195"
"afirmación C-1195","magnitud o conjunto de datos","n/a","n/a","C-1196"
"reensamblaje y decontaminación","concepto o entidad biológica","n/a","n/a","C-1196"
"caso de HGT en tardígrados","concepto o entidad biológica","n/a","n/a","C-1197"
"contaminación y ensamblaje quimérico","concepto o entidad biológica","n/a","n/a","C-1197"
"ausencia de HGT eucariota real","concepto o entidad biológica","n/a","n/a","C-1198"
"contaminación en estudios de HGT","concepto o entidad biológica","n/a","n/a","C-1198"
"frecuencia de HGT eucariota","concepto o entidad biológica","n/a","n/a","C-1199"
"genes, eventos, familias, linajes y controles utilizados","magnitud o conjunto de datos","n/a","n/a","C-1199"
"integración mitocondrial ancestral","orgánulo o compartimento","n/a","n/a","C-1200"
"LA LITERATURA DECLARA QUE NO SE SABE","concepto o entidad biológica; concepto o entidad","n/a","n/a","C-1200"
"punto de no retorno endosimbiótico","concepto o entidad biológica","n/a","n/a","C-1201"
"asociaciones endosimbióticas extinguidas","concepto o entidad biológica","n/a","n/a","C-1202"
"reversión a vida libre","concepto o entidad biológica","n/a","n/a","C-1203"
"coste neto de asociaciones","concepto o entidad biológica","n/a","n/a","C-1204"
"simbiontes bacterianos modelados por Ankrah et al.","magnitud o conjunto de datos","n/a","n/a","C-1205"
"aproximadamente 30–80% frente a 10–15% del N derivado del hospedador","magnitud o conjunto de datos","n/a","n/a","C-1205"
"dinotomos Durinskia baltica y Kryptoperidinium foliaceum","gen, proteína o sistema molecular","n/a","n/a","C-1206"
