"magnitud","valor tal como lo publica la fuente","unidad original","organismo, nodo o intervalo al que se aplica","método o proxy","incertidumbre publicada","observado o inferido","fuente con localizador","#"
"edad de la biota de Weng’an","609 ± 5","Ma","capa tobácea sobre el fosforito superior","SIMS U–Pb","±5 Ma","observado","S169 resumen","C-732"
"número de carbonos nominal del biomarcador","24-isopropil","posición química nominal","24-isopropilcolestano","nomenclatura química","n/a","observado","S172 resumen","C-746"
"número de carbonos de esteroles analizados","C30","átomos de carbono","esteroles de esponjas","genómica y esteroles","n/a","observado","S173 resultados; fig. 2","C-748"
"concentración mínima experimental de O₂ con biosíntesis de esteroles","7","nM O₂ disuelto","*Saccharomyces cerevisiae*","cultivo microóxico","condiciones experimentales del estudio","observado","S176 resumen; resultados","C-749; C-750; C-804"
"edad de principales divergencias eucariotas","950–1259","Ma","nodos analizados por Douzery et al.","reloj molecular relajado","intervalo publicado","inferido","S142 resumen","C-757"
"edad de divergencia Choanoflagellata–Metazoa","761–957","Ma","Choanoflagellata–Metazoa","reloj molecular relajado","intervalo publicado","inferido","S142 tabla 1","C-758"
"edad de LECA","1679–1866","Ma","LECA, Parfrey et al.","relojes multigénicos","intervalo publicado","inferido","S139 resumen; resultados","C-760"
"edad de LECA","1007–1898","Ma","LECA, Eme et al.","comparación de relojes y calibraciones","variación entre análisis","inferido","S141 §Molecular clocks; fig. 3","C-762"
"edad de Opisthokonta","904–1579","Ma","Opisthokonta, Eme et al.","comparación de relojes y calibraciones","variación entre análisis","inferido","S141 fig. 3 y suplemento","C-763"
"duración entre LECA y Opisthokonta","23–334","Ma","escenarios de Eme et al.","diferencia de edades nodales","variación entre análisis","inferido","S141 discusión","C-764"
"edad de LECA","1958–2386","Ma","LECA, Strassert et al.","reloj molecular relajado","intervalo publicado","inferido","S140 resumen; fig. 2","C-765"
"edad antes de la que Porter no reconoce fósiles inequívocos de coronas de supergrupos","aproximadamente 1.05","Ga","registro eucariota","evaluación paleontológica","aproximada","inferido","S178 §3","C-769"
"límite mínimo propuesto para LECA","próximo a 1696","Ma","LECA, preprint de 2026","dinámica de clados","preprint; valor aproximado","inferido","S181 resumen","C-771"
"envolvente de edades recuperadas de LECA","1007–2386","Ma","LECA","compilación sin promedio","extremos de dos estudios","inferido","S141 fig. 3; S140 fig. 2","C-773"
"intervalo de la Gran Oxidación","aproximadamente 2.43–2.32","Ga","Gran Oxidación","síntesis de proxies","límites varían entre archivos","inferido","S194 fig. 1 y texto principal","C-793"
"intervalo Lomagundi–Jatuli","aproximadamente 2.22–2.06","Ga","excursión Lomagundi–Jatuli","estratigrafía isotópica","aproximada","inferido","S195 resumen","C-794"
"máximo de δ13C durante Lomagundi–Jatuli","hasta aproximadamente +15","‰","carbonatos de Lomagundi–Jatuli","isótopos de carbono","aproximado","observado","S195 resultados","C-795"
"pO₂ mesoproterozoica","<0.1","% PAL O₂","partes del Mesoproterozoico","isótopos de cromo","límite superior inferido","inferido","S182 resumen; fig. 3","C-798"
"pO₂ alrededor de 1.4 Ga","4–8","% PAL O₂","Formación Xiamaling","modelo biogeoquímico","intervalo modelado","inferido","S183 resumen; resultados","C-799"
"edad del intervalo Xiamaling modelado","aproximadamente 1.4","Ga","Formación Xiamaling","estratigrafía","aproximada","observado","S183 resumen","C-799"
"pO₂ de la edad media de la Tierra","aproximadamente 1–2","% PAL O₂","intervalo estudiado por Liu et al.","termodinámica de anomalías de cerio","mejor estimación del modelo","inferido","S184 resumen; fig. 4","C-800"
"pO₂ mesoproterozoica","superior a 4","% PAL O₂","intervalos con Cr altamente fraccionado","isótopos de cromo","límite inferido","inferido","S185 resumen y discusión","C-801"
"envolvente de pO₂ mesoproterozoica recuperada","<0.1 a 4–8","% PAL O₂","Mesoproterozoico","comparación de proxies y modelos","no es un intervalo de confianza común","inferido","S182 resumen; S183 resumen; S184 resumen; S185 resumen","C-802"
"número de mediciones de especiación de hierro","aproximadamente 4.700","mediciones","lutitas de 2300–360 Ma","compilación geoquímica","aproximado","observado","S188 resumen y métodos","C-811"
"rango temporal de la compilación de Fe","2300–360","Ma","lutitas compiladas por Sperling et al.","especiación de hierro","intervalo de muestras","observado","S188 resumen y métodos","C-811"
"expansión propuesta del reservorio de P","alrededor de 800–700","Ma","océano neoproterozoico","proxies de fósforo","aproximada","inferido","S193 resumen; fig. 3","C-819"
"duración nominal del «aburrido millardo»","aproximadamente 1.8–0.8","Ga","Proterozoico medio","síntesis geológica y geoquímica","límites varían entre autores","inferido","S194 discusión; S189 introducción","C-821"
"intervalo de la glaciación Sturtiana","alrededor de 717–659","Ma","glaciación Sturtiana","geocronología U–Pb y correlación","aproximado","observado","S196 resultados; S197 fig. 2","C-823"
"terminación Marinoana","635.2 ± 0.6","Ma","glaciación Marinoana","U–Pb de circón","±0.6 Ma","observado","S168 resumen","C-824"
"ventana recuperada para el inicio Marinoano","después de aproximadamente 659 y antes de aproximadamente 639","Ma","glaciación Marinoana","estratigrafía y geocronología","menos constreñida","inferido","S198 introducción y resultados","C-825"
"número aproximado de genes","aproximadamente 9.200","genes","genoma de *Monosiga brevicollis*","anotación genómica","aproximado","observado","S147 resumen","C-852"
"concentración activa de RIF-1","aproximadamente 10^-15","M","*Salpingoeca rosetta* expuesta a RIF-1","ensayo de inducción de rosetas","femtomolar; condiciones del estudio","observado","S201 resumen; resultados","C-856"
"intervalo dinámico de respuesta a RIF-1","nueve","órdenes de magnitud","*Salpingoeca rosetta*","curva dosis-respuesta","publicado como intervalo dinámico","observado","S201 resumen","C-857"
"inicio de enjambrazón","desde 15","min","*Salpingoeca rosetta* tras *Vibrio fischeri*","microscopía temporal","condiciones del estudio","observado","S203 resultados; fig. 1","C-861"
"tiempo hasta enjambres observables","dentro de 30","min","*Salpingoeca rosetta* tras *Vibrio fischeri*","microscopía temporal","condiciones del estudio","observado","S203 fig. 1B","C-862"
"tiempo de inversión de la lámina","aproximadamente 30","s","*Choanoeca flexa*","filmación de transición luz-oscuridad","aproximado","observado","S204 resultados; fig. 2","C-867"
"duración de inducción de agregación","4–5","días","*Capsaspora owczarzaki*","cultivo con agitación","protocolo publicado","observado","S206 métodos","C-872"
"velocidad de agitación para agregación","60","rpm","*Capsaspora owczarzaki*","cultivo con agitación","protocolo publicado","observado","S206 métodos","C-872"
"edad del cultivo quístico","14","días","*Capsaspora owczarzaki*","cultivo envejecido","protocolo publicado","observado","S206 métodos","C-873"
"número máximo de núcleos antes de celularización","hasta 128","núcleos","*Sphaeroforma arctica*","microscopía de coenocitos","máximo observado en el estudio","observado","S207 resumen; resultados","C-878"
"intervalo entre divisiones nucleares","11–12","h","*Sphaeroforma arctica*","microscopía temporal","intervalo regular publicado","observado","S207 resultados","C-879"
"tamaño celular","aproximadamente 3–5","µm","*Tunicaraptor unikontum*","microscopía","aproximado","observado","S131 resumen","C-887"
"relación lineal depredador:presa óptima","aproximadamente 3:1","relación de longitudes","flagelados no dinoflagelados","compilación de 18 estudios","aproximada","inferido","S224 resumen","C-909"
"relación lineal depredador:presa óptima","1:1","relación de longitudes","un dinoflagelado de la compilación","compilación de estudios","valor publicado","inferido","S224 resumen","C-910"
"relación lineal depredador:presa óptima","8:1","relación de longitudes","ciliados","compilación de estudios","valor publicado","inferido","S224 resumen","C-910"
"número de genomas virales asgard reconstruidos","seis","genomas","virus asociados con Lokiarchaeota y Helarchaeota","metagenómica","número del estudio","observado","S217 resumen","C-915"
"tamaño máximo de genoma viral asgard","hasta 117","kb","virus asociados con Lokiarchaeota y Helarchaeota","ensamblaje metagenómico","máximo publicado","observado","S217 resumen","C-915"
"rendimiento fermentativo calculado con *Arcobacter*","doble que la ruta alternativa comparada","razón 2×","*Lenisia limosa*–*Arcobacter*","balance metabólico calculado por autores","no consta en la fuente recuperada","inferido","S210 resultados","C-997"
"temperatura experimental del consorcio ANME-1–HotSeep-1","60","°C","consorcio ANME-1–HotSeep-1","incubación experimental","no consta en el pasaje recuperado","observado","S226 métodos","C-1008"
"tamaño del aislado metanógeno histórico","3 × 0,4","µm","aislado atribuido a *Pelomyxa palustris*","microscopía en cultivo","dimensiones publicadas en el resumen","observado","S232 Abstract [PASAJE VERIFICADO 2026-08-08]","C-1016"
"tiempo de generación con H₂/CO₂","10","h","aislado histórico atribuido a *Pelomyxa*","cultivo","no consta en el pasaje recuperado","observado","S232 resultados","C-1017"
"tiempo de generación con formiato","12","h","aislado histórico atribuido a *Pelomyxa*","cultivo","no consta en el pasaje recuperado","observado","S232 resultados","C-1017"
"especies de ciliados anaerobios muestreadas","32","especies","muestreo de S234","muestreo, FISH y secuenciación","n/a","observado","S234 resumen","C-1022"
"tamaño de genoma de *Kinetoplastibacterium*","aprox. 0,8","Mb","*Kinetoplastibacterium*","secuenciación genómica","según cepa; detalle en S237","observado","S237 resultados","C-1030"
"tamaño del genoma nuclear de *Perkinsela*","aprox. 9,5","Mb","*Perkinsela*","secuenciación genómica","no consta en el pasaje recuperado","observado","S240 resultados","C-1037"
"genes proteicos del genoma mitocondrial de *Perkinsela*","6","genes","mitocondria de *Perkinsela*","secuenciación genómica","n/a","observado","S241 resultados","C-1041"
"edad de endosimbiosis del cromatóforo","90–140","Ma","*Paulinella*–cromatóforo","estimación filogenética","intervalo publicado","inferido","S245 discusión","C-1043; C-1636"
"tamaño del genoma del cromatóforo","1,02","Mb","cromatóforo de *Paulinella chromatophora*","secuenciación","n/a","observado","S242 resultados","C-1044"
"proteínas codificadas por cromatóforo","867","proteínas","cromatóforo de *Paulinella chromatophora*","anotación genómica","n/a","observado","S242 resultados","C-1045"
"genes nucleares inicialmente atribuidos al cromatóforo","0,3–0,8","% de genes nucleares analizados","*Paulinella chromatophora*","filogenia de familias génicas","depende de filtros","inferido","S243 resultados","C-1047"
"genes nucleares de origen plastidial comparativo","11–14","%","Archaeplastida en comparación de S243","filogenia de familias génicas","depende de filtros","inferido","S243 discusión","C-1048"
"tamaño de nucleomorfo","aprox. 373.000","bp","*Bigelowiella natans*","secuenciación","n/a","observado","S258 resultados","C-1082"
"genes del nucleomorfo","331","genes","*Bigelowiella natans*","anotación genómica","n/a","observado","S258 resultados","C-1082"
"cromosomas del nucleomorfo","3","cromosomas lineales","*Bigelowiella natans*","ensamblaje genómico","n/a","observado","S258 resultados","C-1083"
"tamaño de nucleomorfo","aprox. 551","kb","*Guillardia theta*","secuenciación","n/a","observado","S259 resultados","C-1084"
"intrones espliceosomales en nucleomorfo","17","intrones","*Guillardia theta*","anotación genómica","n/a","observado","S259 resultados","C-1085"
"genes solapados en nucleomorfo","44","genes","*Guillardia theta*","anotación genómica","n/a","observado","S259 resultados","C-1085"
"genoma de *Tremblaya princeps*","138.927","bp","*Tremblaya princeps*","secuenciación","n/a","observado","S260 resultados","C-1090"
"genoma de *Moranella endobia*","538.294","bp","*Moranella endobia*","secuenciación","n/a","observado","S260 resultados","C-1091"
"cromosoma de *Buchnera* APS","640.681","bp","*Buchnera* sp. APS","secuenciación","n/a","observado","S263 resultados","C-1096"
"divergencia de cepas de *Buchnera*","80–150","Ma","cepas comparadas en S264","filogenia hospedador-simbionte","intervalo publicado","inferido","S264 resultados","C-1099"
"genes proteicos del ancestro reconstruido de *Buchnera*","616","genes","ancestro de *Buchnera*","reconstrucción ancestral","dependiente del modelo","inferido","S265 resultados","C-1100"
"genes de ARN del ancestro reconstruido de *Buchnera*","39","genes","ancestro de *Buchnera*","reconstrucción ancestral","dependiente del modelo","inferido","S265 resultados","C-1100"
"tamaño de genomas modernos de *Buchnera*","412–646","kb","cepas de *Buchnera* analizadas","secuenciación comparada","rango publicado","observado","S265 resultados","C-1101"
"genes proteicos en genomas modernos de *Buchnera*","354–587","genes","cepas de *Buchnera* analizadas","anotación comparada","rango publicado","observado","S265 resultados","C-1101"
"elementos de inserción en algunos genomas de *Wolbachia*","hasta 10","% del genoma","*Wolbachia*","anotación genómica","depende de cepa","observado","S267 §Transposons [PASAJE VERIFICADO 2026-08-08]","C-1106"
"proteínas hidrogenosomales localizadas","30","proteínas","*Trichomonas vaginalis*","localización experimental","n/a","observado","S271 resumen","C-1135"
"candidatos hidrogenosomales con presecuencia","226","proteínas","*Trichomonas vaginalis*","predicción por aprendizaje automático","dependiente del clasificador","inferido","S271 resumen","C-1135"
"tamaño de mitosomas","50–200","nm","*Giardia intestinalis*","microscopía","rango publicado","observado","S273 introducción","C-1136"
"mitosomas por célula","aprox. 40","orgánulos/célula","*Giardia intestinalis*","microscopía y conteo","varía con ciclo celular","observado","S273 resultados","C-1137"
"genes codificantes de proteínas en genomas mitocondriales","1 o 2–67","genes codificantes de proteínas","eucariotas actuales","revisión comparada","rango entre taxones; extremos de anotación explícitos","observado","S281 §Mitochondrial gene content variation: from 100 to 1","C-1156; C-1643"
"genomas mitocondriales analizados","2.015","genomas","análisis de retención génica","genómica comparada","n/a","observado","S280 resumen","C-1159"
"descendencia respiratoriamente deficiente en algunos cruzamientos petite","más de 95","% de colonias","levadura con mtDNA hipersupresivo","cruzamientos experimentales","según cruzamiento","observado","S285 resultados","C-1168"
"genotipos mitonucleares factoriales","81","genotipos","panel de *Drosophila*","9 genomas nucleares × 9 haplotipos mitocondriales","n/a","observado","S288 métodos","C-1175"
"fondos nucleares con mayor varianza masculina","8 de 9","fondos nucleares","panel de *Drosophila*","análisis factorial","n/a","observado","S288 resultados","C-1176"
"participantes de UK Biobank","aprox. 0,5 millones","participantes","análisis humano de maldición de la madre","asociación genómica","aproximación publicada","observado","S289 resumen","C-1177"
"secuencias eucariotas analizadas","30.358","secuencias","estudio de HGT de Ku y Martin","filogenias de familias","n/a","observado","S290 métodos","C-1184"
"homólogos procariotas analizados","1.035.375","secuencias","estudio de HGT de Ku y Martin","filogenias de familias","n/a","observado","S290 métodos","C-1184"
"árboles génicos analizados","2.585","árboles","estudio de HGT de Ku y Martin","filogenias de familias","n/a","observado","S290 métodos","C-1184"
"umbral de la regla de contaminación","más de 70","% de identidad","regla de Ku y Martin","criterio empírico","puede tener excepciones","inferido","S290 resultados","C-1185"
"genes de tardígrado inicialmente atribuidos a HGT","aprox. una sexta parte","fracción del borrador génico","*Hypsibius dujardini*","ensamblaje borrador","reclamo posteriormente cuestionado","inferido","S295 resumen","C-1195"
"región codificante mitocondrial del endosimbionte","34.242","bp","endosimbionte de *Durinskia baltica*","ensamblaje mitocondrial","región no codificante final no cerrada","observado","S301 resultados; tabla 1","C-1207"
"región codificante mitocondrial del endosimbionte","34.742","bp","endosimbionte de *Kryptoperidinium foliaceum*","ensamblaje mitocondrial","región no codificante final no cerrada","observado","S301 resultados; tabla 1","C-1207"
"genes mitocondriales endosimbiontes","58","genes","endosimbionte de *Durinskia baltica*","anotación genómica","n/a","observado","S301 resultados; tabla 1","C-1208"
"genes mitocondriales endosimbiontes","59","genes","endosimbionte de *Kryptoperidinium foliaceum*","anotación genómica","n/a","observado","S301 resultados; tabla 1","C-1208"
"candidatos de EGT terciaria","9","genes","dinotomos","filogenias de transcriptos","dependiente del muestreo y filtro","inferido","S302 resumen; resultados","C-1211"
"candidatos de EGT terciaria","90","genes","kareniáceos","filogenias de transcriptos","dependiente del muestreo y filtro","inferido","S302 resumen; resultados","C-1211"
"genoma plastidial terciario","142.981","bp","*Karlodinium veneficum*","secuenciación y ensamblaje","n/a","observado","S303 resultados; tabla 1","C-1213"
"proteínas codificadas por plasto terciario","70","proteínas","*Karlodinium veneficum*","anotación genómica","n/a","observado","S303 resultados; tabla 1","C-1213"
"ARNt codificados por plasto terciario","30","ARNt","*Karlodinium veneficum*","anotación genómica","n/a","observado","S303 resultados; tabla 1","C-1213"
"ARNr codificados por plasto terciario","3","ARNr","*Karlodinium veneficum*","anotación genómica","n/a","observado","S303 resultados; tabla 1","C-1213"
"soporte de origen haptófito del plasto","100","% bootstrap","plasto de *Karlodinium veneficum*","filogenia plastidial","matriz y muestreo de S303","inferido","S303 fig. 4","C-1214"
"familias completas de elementos transponibles","mínimo 20","familias","*Salpingoeca rosetta*","RepeatMasker y BLAST","mínimo por ensamblaje y detección","observado","S304 resultados","C-1215"
"familias de transposones de ADN","7","familias","*Salpingoeca rosetta*","anotación estructural y por homología","n/a","observado","S304 resultados","C-1216"
"familias de retrotransposones LTR","13","familias","*Salpingoeca rosetta*","anotación estructural y por homología","n/a","observado","S304 resultados","C-1216"
"candidatos de retrotransposones no-LTR","2","familias incompletas","*Salpingoeca rosetta*","búsqueda por homología","secuencias completas no determinadas","inferido","S304 resultados","C-1216"
"familias de retrotransposones LTR","3","familias","*Monosiga brevicollis*","cribado del ensamblaje y EST","ausencias dependientes del ensamblaje","observado","S305 resumen","C-1217"
"coste membrana macronuclear","6.8 × 10^9 Vcell^0.54","ATP","ciliados","modelo morfométrico","no consta en la fuente","inferido","S307 pp. 90–91","C-1235"
"coste membrana micronuclear","1.5 × 10^9 Vcell^0.41","ATP","ciliados","modelo morfométrico","no consta en la fuente","inferido","S307 pp. 90–91","C-1236"
"coste membrana nuclear otros eucariotas","7.8 × 10^9 Vcell^0.48","ATP","fotótrofos y mamíferos incluidos","modelo morfométrico","no consta en la fuente","inferido","S307 pp. 90–91","C-1237"
"coste relativo macronúcleo","2.5","% del presupuesto celular","ciliado de 10^5 µm³","volumen como proxy","no consta en la fuente","inferido","S307 p. 91","C-1238"
"coste relativo micronúcleo","0.032","% del presupuesto celular","ciliado de 10^5 µm³","volumen como proxy","no consta en la fuente","inferido","S307 p. 91","C-1238"
"coste de NPC de levadura","1.3 × 10^7","ATP por poro","levadura","masa molecular y composición","no consta en la fuente","inferido","S307 p. 91","C-1239"
"coste de NPC de vertebrado","2.9 × 10^7","ATP por poro","vertebrado","masa molecular y composición","no consta en la fuente","inferido","S307 p. 91","C-1240"
"coste conjunto de NPC","7.0 × 10^8 Vnuc^0.78","ATP","eucariotas modelados","regresión por volumen nuclear","no consta en la fuente","inferido","S307 p. 91","C-1241"
"coste de vesícula en construcción","1.67 × 10^7","ATP por vesícula","vesícula de 50 nm durante 140 s","modelo composicional","no consta en la fuente","inferido","S307 tabla 1","C-1243"
"coste de vesícula citoplasmática","9.6 × 10^6","ATP por vesícula","vesícula de 50 nm","modelo composicional","no consta en la fuente","inferido","S307 tabla 1","C-1244"
"coste de membrana pura","1.25 × 10^9","ATP µm^-2","membrana lipídica","modelo de composición","no consta en la fuente","inferido","S307 tabla 1","C-1245"
"coste de membrana con proteína","1.45 × 10^9","ATP µm^-2","membrana con 40% proteína por área","modelo de composición","no consta en la fuente","inferido","S307 tabla 1","C-1246"
"coste ER+Golgi","1.1","% del presupuesto celular","Ostreococcus tauri","morfometría y coste de membrana","no consta en la fuente","inferido","S307 tabla 1","C-1247"
"coste ER+Golgi","1.1","% del presupuesto celular","Saccharomyces cerevisiae","morfometría y coste de membrana","no consta en la fuente","inferido","S307 tabla 1","C-1248"
"coste ER+Golgi","3.0","% del presupuesto celular","Dunaliella salina","morfometría y coste de membrana","no consta en la fuente","inferido","S307 tabla 1","C-1249"
"coste ER+Golgi","21","% del presupuesto celular","célula pancreática de Sus scrofa","morfometría y coste de membrana","no consta en la fuente","inferido","S307 tabla 1","C-1250"
"microtúbulos corticales","5.0 × 10^10","ATP","Ochromonas idealizada","modelo composicional","no consta en la fuente","inferido","S307 tabla 1","C-1255"
"actina+tubulina","0.1; 1.4 × 10^9","% del presupuesto; ATP","Saccharomyces cerevisiae","abundancia y composición","no consta en la fuente","inferido","S307 tabla 1","C-1256"
"actina+tubulina","0.4; 1.1 × 10^10","% del presupuesto; ATP","Schizosaccharomyces pombe","abundancia y composición","no consta en la fuente","inferido","S307 tabla 1","C-1257"
"actina+tubulina","5.7","% del presupuesto celular","fibroblastos de ratón","abundancia y composición","no consta en la fuente","inferido","S307 tabla 1","C-1258"
"actina+tubulina","0.6","% del presupuesto celular","células HeLa","abundancia y composición","no consta en la fuente","inferido","S307 tabla 1","C-1259"
"F-actina tras inhibición CK-B","73 ± 9","% del control","fagocitosis mediada por complemento","fluorescencia","±9","observado","S328 resultados","C-1264"
"contenido ATP durante fagocitosis","0.8","fmol célula^-1","neutrófilos humanos","ensayo bioquímico","no consta en la fuente","observado","S329 resultados","C-1265"
"coste membranas mitocondriales","1.9","% del presupuesto celular","Dunaliella salina","morfometría","no consta en la fuente","inferido","S307 tabla 1","C-1278"
"coste membranas mitocondriales","4–17","% del presupuesto celular","ciliados","morfometría","variación natural entre especies","inferido","S307 tabla 1","C-1279"
"coste membranas mitocondriales","6.7","% del presupuesto celular","célula pancreática de Sus scrofa","morfometría","no consta en la fuente","inferido","S307 tabla 1","C-1280"
"coste membranas mitocondriales","7.9","% del presupuesto celular","Ostreococcus tauri","morfometría","no consta en la fuente","inferido","S307 tabla 1","C-1281"
"área de membrana mitocondrial","3.0 Vcell^0.99","relación de área","eucariotas modelados","regresión morfométrica","no consta en la fuente","inferido","S312 resultados; S313 título de la corrección y texto editorial","C-1282"
"construcción flagelos Chlamydomonas","6.15 × 10^10","ATP célula^-1","dos flagelos","modelo estructural","no consta en la fuente","inferido","S324 tabla 1","C-1285"
"construcción flagelos Chlamydomonas","1.4","% del presupuesto del ciclo","Chlamydomonas","modelo estructural y presupuesto","no consta en la fuente","inferido","S324 tabla 1","C-1286"
"operación flagelo Chlamydomonas","9.7 × 10^5","ATP s^-1 flagelo^-1","Chlamydomonas","modelo de motores","no consta en la fuente","inferido","S324 tabla 1","C-1287"
"operación flagelos Chlamydomonas","1.2","% del presupuesto del ciclo","Chlamydomonas","modelo de operación","no consta en la fuente","inferido","S324 tabla 1","C-1288"
"coste total flagelos Chlamydomonas","2.6","% del presupuesto del ciclo","Chlamydomonas","suma de construcción y operación","no consta en la fuente","inferido","S324 tabla 1","C-1289"
"coste relativo construcción de flagelos","0.1–40","% del presupuesto celular","mayoría de 200 especies","encuesta comparativa modelada","variación entre especies","inferido","S307 p. 90; S324 resultados","C-1290"
"fuerza adhesiva generada por un parche","200","nN","parche de integrinas unidas y elementos del citoesqueleto en el modelo mecánico","fuerza adhesiva constante generada","no consta en el resumen","inferido","S336 resumen, “generated a constant 200-nN adhesive force”","C-1293"
"fortalecimiento de adhesión","aproximadamente 7","veces","integrinas en islas adhesivas de 5 µm","aumento hasta el estado estacionario","no consta en el resumen","observado","S336 resumen","C-1292"
"energía por gen bacteria ampliada","0.0005","fW gen^-1","bacteria hipotética","escalamiento","no consta en la fuente","inferido","S308 p. 931","C-1301"
"reducción de energía por gen","230000","veces","bacteria hipotética frente a protozoo","cociente modelado","no consta en la fuente","inferido","S308 p. 931","C-1302"
"ventaja energía por gen eucariota","aproximadamente 200000","veces","eucariota frente a procariota modelado","cociente modelado","no consta en la fuente","inferido","S308 pp. 929, 931","C-1303"
"potencia por gen","10^5–10^6","veces","hospedador mitocondrial modelado","cociente modelado","no consta en la fuente","inferido","S308 p. 931","C-1304"
"valores no localizados en fuentes citadas","más de 50","% de 80 valores","auditoría documental","rastreo de citas","no consta en la fuente","observado","S314 resultados","C-1317–C-1319"
"umbral aproximado de selección","1/Ne","coeficiente de aptitud relativo","población finita","teoría poblacional","aproximación","inferido","S307 p. 91; S319 pp. 1401–1403","C-1325"
"Ne procariotas histórico","generalmente >10^8","individuos efectivos","muestreo de S319","diversidad silenciosa y μ","dependiente de supuestos","inferido","S319 p. 1401","C-1324; C-1326"
"Ne eucariotas unicelulares histórico","10^7–10^8","individuos efectivos","muestreo de S319","diversidad silenciosa y μ","dependiente de supuestos","inferido","S319 pp. 1401–1402","C-1327"
"Ne invertebrados histórico","10^5–10^6","individuos efectivos","muestreo de S319","diversidad silenciosa y μ","dependiente de supuestos","inferido","S319 pp. 1401–1402","C-1328"
"Ne vertebrados histórico","10^4–10^5","individuos efectivos","muestreo de S319","diversidad silenciosa y μ","dependiente de supuestos","inferido","S319 pp. 1401–1402","C-1329"
"tasa mutacional media asumida","aproximadamente 2.3 × 10^-10","mutaciones sitio^-1 división^-1","estimaciones de S319","promedio asumido","rango de entrada 5 × 10^-11–5 × 10^-10","inferido","S319 p. 1401","C-1330"
"diversidad neutral diploide","4Neμ","relación adimensional","población diploide en equilibrio","modelo poblacional","bajo supuestos de equilibrio","inferido","S319 p. 1401","C-1331"
"Ne crítico retrotransposones","~7 × 10^7","individuos efectivos","modelo de elementos móviles","tasas modeladas","dependiente de parámetros","inferido","S319 material principal y suplementario","C-1333"
"Ne crítico transposones ADN","~2 × 10^7","individuos efectivos","modelo de elementos móviles","tasas modeladas","dependiente de parámetros","inferido","S319 material principal y suplementario","C-1333"
"muestreo Ne eucariotas","120","especies","S322","diversidad y tasas directas","n/a","observado","S322 resumen","C-1327"
"variación Ne eucariotas","casi 4","órdenes de magnitud","S322","estimaciones comparativas","intervalos por especie en material suplementario","inferido","S322 resumen","C-1336"
"muestreo prueba animal","807","especies","S323","genómica comparada","n/a","observado","S323 métodos","C-1338"
"coste duplicación gen mediano","4.68 × 10^-5","fracción del presupuesto celular","Saccharomyces cerevisiae","modelo de expresión","no consta en la fuente","inferido","S340 resultados; S307 p. 90","C-1348"
"cambio detectable de ARNm",">10","%","gen mediano de Saccharomyces cerevisiae","comparación con 1/Ne","dependiente de Ne","inferido","S340 resultados; S307 p. 91","C-1349"
"cambio detectable de proteína",">2","%","gen mediano de Saccharomyces cerevisiae","comparación con 1/Ne","dependiente de Ne","inferido","S340 resultados; S307 p. 91","C-1349"
"producción total de ATP por ciclo","6,0 × 10^11","ATP célula^-1 ciclo^-1","forma sanguínea proliferativa de Trypanosoma brucei","presupuesto celular teórico integrado","incluye extrapolaciones y procesos sin coste disponible","inferido","S341 resumen, tablas 11–13 y fig. 1","C-1354"
"fracción residual sin coste asignado","aproximadamente 5,5","%","forma sanguínea proliferativa de Trypanosoma brucei","residual comunicado por los autores","aproximada; procesos subestimados o no modelados","inferido","S341 discusión","C-1354"
"genes meióticos específicos identificados en Giardia","5","genes","Giardia intestinalis","inventario y filogenia de homólogos","no consta en la fuente","observado","S77 resumen","C-1376"
"componentes meióticos identificados en Trichomonas vaginalis","27 de 29","genes","Trichomonas vaginalis","inventario genómico y ortología","no consta en la fuente","observado","S346 resumen; tabla 2","C-1377"
"genes específicos de meiosis en Trichomonas vaginalis","8 de 9","genes","Trichomonas vaginalis","inventario genómico","no consta en la fuente","observado","S346 resumen","C-1378"
"genes meióticos conservados identificados en coanoflagelados","18","genes","Choanoflagellata muestreada en S348","inventario de genomas y EST","no consta en la fuente","observado","S348 resultados","C-1380"
"alargamiento del cuerpo del gameto grande bajo inanición","61","% respecto de células asexuales","Salpingoeca rosetta","morfometría en preprint","incertidumbre en la figura original; fuente no revisada por pares","observado","S486 fig. 3","C-1478"
"alargamiento del collar del gameto grande bajo inanición","55","% respecto de células asexuales","Salpingoeca rosetta","morfometría en preprint","incertidumbre en la figura original; fuente no revisada por pares","observado","S486 fig. 3","C-1478"
"tipos de apareamiento de Dictyostelium discoideum","3","tipos de apareamiento","Dictyostelium discoideum","genética del locus de tipo de apareamiento","no consta en la fuente","observado","S365 resumen","C-1424"
"fragmentos génicos resecuenciados","137","fragmentos","cepas silvestres norteamericanas de Dictyostelium discoideum","resecuenciación poblacional","no consta en la fuente","observado","S367 resumen","C-1431"
"edad de Bangiomorpha pubescens","1.047 +0.013/−0.017","Ga","primera aparición de Bangiomorpha pubescens","Re–Os estratigráfico","+0.013/−0.017 Ga","observado","S160 resumen","C-1446"
"tiempo hasta enjambre tras Vibrio fischeri","dentro de 30","minutos","Salpingoeca rosetta","microscopía en cultivo","no consta en la fuente","observado","S203 fig. 1A–B","C-1415; C-1416; C-1450"
"duración de fusión celular tras orientación basal","minutos","minutos","Salpingoeca rosetta","microscopía en cultivo","sin valor numérico exacto","observado","S203 fig. 1C","C-1416; C-1451"
