"clave","qué sostiene en una frase","supuestos que da por buenos","# de las filas que la componen","fuentes a favor","fuentes en contra","con qué otras hipótesis es incompatible y en qué punto exacto","qué observación la falsaría"
"H62","No existe una barrera energética general a la complejidad genómica porque el coste incremental de genes es una fracción pequeña del presupuesto y disminuye relativamente con tamaño celular.","El coste marginal por ciclo es el denominador causal relevante; datos de organismos actuales informan la restricción histórica","C-1214–C-1227","S309; S311; S312; S315","S308; S310; S314","Incompatible con H61 respecto de una barrera absoluta; compatible con H63 porque permite restricciones poblacionales no energéticas","Una relación universal robusta en la que añadir repertorio expresado excediera sistemáticamente la capacidad de procariotas aun tras controlar tamaño, crecimiento y membranas la falsaría."
"H63","La barrera de deriva permite fijación de rasgos genómicos levemente perjudiciales cuando el valor absoluto de s es aproximadamente menor que 1/Ne.","Modelos de población finita; estimaciones comparables de Ne y s; mutación y recombinación representadas adecuadamente","C-1228–C-1245; C-1250–C-1255","S319; S320; S321","S322; S323 para versiones globales simples","Compatible con H61 o H62 porque aborda eficacia de selección, no origen de energía; incompatible solo con versiones que exijan adaptación de cada expansión","Que la distribución de intrones, elementos móviles y redundancia no mostrara ninguna relación local con eficacia de selección bajo estimadores directos debilitaría el mecanismo."
"H64","La provisión energética por membranas bioenergéticas y la demanda celular escalan de manera continua y dependiente del tamaño, sin un salto universal único.","Morfometría y presupuestos actuales pueden modelar escalamiento; tamaño y tipo celular son covariables esenciales","C-1182–C-1186; C-1224–C-1226","S312; S316; S317; S344","S308 en su formulación de salto necesario","Parcialmente compatible con H61 respecto de ventajas de membranas internas e incompatible con su precondición universal; compatible con H62 respecto de ausencia de frontera simple","Una discontinuidad reproducible y exclusiva de la adquisición mitocondrial en provisión por volumen, robusta a método y muestreo, la falsaría."
"H65","La hipótesis de peligro mutacional atribuye expansiones de ADN no codificante y elementos móviles a selección purificadora debilitada en poblaciones con Ne pequeño.","Los elementos tienen costes pequeños; las tasas de inserción y deleción están caracterizadas; proxies de Ne reflejan eficacia de selección","C-1236–C-1245; C-1250–C-1255","S319; S320","S322; S323 para una relación global simple","Es una aplicación de H63; no es incompatible con adaptación posterior de elementos concretos","Una ausencia persistente de asociación local entre Ne directo, tasas de inserción/deleción y fijación de ADN extra bajo control filogenético la falsaría."
"H66","LECA poseía un ciclo sexual con meiosis.","La distribución amplia y la ortología de múltiples módulos meióticos reflejan presencia ancestral y no convergencias masivas.","C-1289, C-1290, C-1291, C-1292","S77, S346, S347, S348; S353; S354; S78, S357, S358","S355","Incompatible con un LECA completamente asexual; compatible con ciclos ancestrales haplontes, diplontes o haplodiplontes.","Un muestreo completo que demostrara orígenes independientes de cada módulo y ausencia ancestral en ambos lados de la raíz."
"H67","La reparación homóloga fue una función inicial del sexo.","Daño de ADN, homología y fusión precedieron o impulsaron el ciclo sexual completo.","C-1295, C-1296, C-1297","S357; S359","S360","Parcialmente compatible con reducción de ploidía; difiere en la primera ventaja seleccionada.","Una reconstrucción que situara recombinación sexual después de un ciclo de ploidía ya estable y sin función reparadora ancestral."
"H68","La meiosis surgió para restaurar ploidía tras fusión celular o nuclear.","La fusión antecedió a la división reduccional y el aumento recurrente de ploidía era costoso.","C-1298","S357; S359","S360","Compatible con reparación como función adicional; rivaliza sobre el orden inicial.","Evidencia de división reduccional ancestral anterior a toda fusión o de ciclos sin presión por ploidía."
"H69","La expansión genómica favoreció una transición desde transferencia lateral hacia sexo meiótico.","La transferencia de fragmentos pierde eficacia relativa al crecer el genoma y la fusión permite recombinar conjuntos mayores.","C-1300","S371","S357; S360","No excluye reparación ni reducción de ploidía; propone un impulsor poblacional distinto.","Datos comparativos que mostraran ausencia de relación entre tamaño genómico, transferencia lateral y ventaja de fusión en el régimen modelado."
"H70","La purga de mutaciones deletéreas mantiene sexo y recombinación.","Recombinación genera descendientes con cargas distintas y selección elimina los más cargados.","C-1303, C-1304","S361; S363","S362","Compatible con Fisher–Muller y Reina Roja; no explica por sí sola origen.","Condiciones relevantes donde recombinación aumentara sistemáticamente la carga sin beneficios compensatorios."
"H71","El mecanismo Fisher–Muller mantiene recombinación al reunir alelos beneficiosos.","Mutaciones beneficiosas surgen en fondos distintos y existe interferencia selectiva.","C-1305","S361","S362","Compatible con purga; difiere en el signo de las mutaciones relevantes.","Ausencia de beneficio de recombinación bajo interferencia selectiva y suministro mutacional comparables."
"H72","La coevolución de Reina Roja mantiene sexo.","Antagonistas cambian con frecuencia y los genotipos raros tienen ventaja.","C-1306","S361","S362","Compatible con otras hipótesis de mantenimiento; no identifica origen.","Sistemas con antagonistas coevolutivos donde eliminar recombinación no reduzca adaptación bajo los supuestos del modelo."
"H73","La selección disruptiva sobre tamaño gamético origina anisogamia.","Existe compromiso tamaño–número y las funciones de encuentro y supervivencia permiten dos óptimos.","C-1321, C-1323, C-1324, C-1325","S364","S362","Compatible con LECA sexual; no determina si LECA era anisógamo.","Datos que muestren estabilidad de tamaños intermedios bajo las funciones y parámetros observados relevantes."
"H74","Archezoa agrupaba eucariotas que se habrían separado antes de la adquisición de la mitocondria.","Los taxones sin mitocondria visible eran primitivamente amitochondriados.","C-1640–C-1645","S398 como historia de la propuesta","S398, S399","Incompatible con la presencia de genes y orgánulos derivados de mitocondria en sus miembros.","Encontrar orgánulos o genes inequívocamente mitocondriales en los supuestos arquezoos; esa observación se produjo."
"H75","Chromalveolata derivaba de un ancestro con un plasto secundario rojo único.","Los hospedadores formaban un clado o un conjunto compatible con un solo origen y múltiples pérdidas.","C-1652–C-1658","S401","S137; S402, S403, S404","Incompatible con historias de hospedadores y plastos que requieran varios orígenes o transferencias incompatibles con el árbol único.","Filogenias robustas que rechacen monofilia de hospedadores y plastos bajo muestreo amplio; esa contraevidencia existe."
"H76","La teoría de endosimbiosis seriada atribuye varios componentes eucariotas a adquisiciones simbióticas sucesivas.","Cada componente propuesto conserva homologías con un donante identificable.","C-1680–C-1685","S410; S411 para mitocondria y plasto","S411 para el componente espiroquetal","Parcialmente incompatible consigo misma cuando se trata como paquete indivisible: los componentes tienen vigencias distintas.","Ausencia de afinidad bacteriana o de transferencia en cada componente por separado."
"H77","Unikonta–Bikonta situaba la raíz eucariota entre conjuntos con estados flagelares ancestrales de uno y dos aparatos.","Los estados podían polarizarse como cambios únicos y las circunscripciones eran monofiléticas.","C-1566–C-1569; C-1659–C-1663","S89","S124; S137; Parte 1C","Incompatible con raíces y circunscripciones modernas que distribuyen los linajes de otra manera.","Reconstrucciones y filogenómicas robustas que no recuperen la bipartición o el diagnóstico; esa contraevidencia existe."
"H78","Los programas regulatorios usados sucesivamente en un ciclo unicelular fueron cooptados para especificar tipos celulares coexistentes.","Existencia de módulos regulatorios temporales reutilizables; continuidad parcial de genes y elementos reguladores.","C-1489–C-1493","S206; S441; S134","S376 discusión; ausencia de correspondencias directas","H79: no es incompatible con agregación ancestral; responde a la organización regulatoria, no al mecanismo físico de ensamblaje.","La demostración de que los programas de estadios unicelulares no comparten homología regulatoria ni funcional con ningún módulo animal debilitaría su aplicación al corredor."
"H79","La alta relación genética generada por desarrollo clonal reduce el conflicto y facilita cooperación celular.","Desarrollo desde una célula; selección entre colectivos; costes de conflicto dentro de quimeras.","C-1385–C-1386; C-1435–C-1440","S430; S431; S443","S433 muestra que mutación intraclonal persiste; C-1383 muestra rutas mixtas","H78: compatible; una trata conflicto y otra cooptación regulatoria.","Que colectivos agregativos de baja relación genética mantuvieran cooperación estable sin reconocimiento ni supresión de tramposos bajo evolución prolongada debilitaría la versión fuerte."
"H80","La relación núcleo-citoplasma dispara la celularización de Sphaeroforma arctica.","Crecimiento cenocítico; umbral fisiológico de relación núcleo-citoplasma; mecanismos de membrana disponibles.","C-1403–C-1410","S425","S208 no identifica por sí sola el disparador; extrapolación histórica cuestionada en C-1410","H78 y H79: compatible; responde al disparador de una ruta cenocítica.","Manipular independientemente relación núcleo-citoplasma sin desplazar el inicio de celularización falsaría el mecanismo propuesto para Sphaeroforma."
"H81","La agregación era una capacidad del ancestro de Filozoa y sus repertorios fueron cooptados en el tallo animal.","Agregación homóloga en Filasterea; topología estable; pérdidas en otros linajes; homología de repertorios.","C-1426–C-1430; C-1489–C-1498","S376 discusión; S206","S424 documenta origen o conservación adicional en Choanoflagellata pero no resuelve ancestralidad; C-1498 declara incertidumbre","H78: parcialmente compatible; puede combinar capacidad agregativa ancestral con cooptación temporal-a-espacial.","Una filogenia y reconstrucción de caracteres robustas que mostraran orígenes independientes en cada filastereo falsarían la versión ancestral estricta."
